"日付","始値","高値","安値","終値","前月比","前月比％","売買高(株)","code"
"17/08/31","3,992.0","4,043.0","3,800.0","3,856.0","-138","-3.5","59,383,700",7270
"17/07/31","3,820.0","4,173.0","3,809.0","3,994.0","208","5.5","82,126,100",7270
"17/06/30","3,741.0","3,925.0","3,632.0","3,786.0","+41.0","1.1","83,661,500",7270
"17/05/31","4,204.0","4,297.0","3,743.0","3,745.0","-467.0","-11.1","95,769,400",7270
"17/04/28","4,105.0","4,285.0","3,843.0","4,212.0","+129.0","3.2","84,290,500",7270
"17/03/31","4,247.0","4,495.0","4,083.0","4,083.0","-124.0","-2.9","76,995,600",7270
"17/02/28","4,450.0","4,549.0","4,204.0","4,207.0","-333.0","-7.3","76,470,600",7270
"17/01/31","4,900.0","5,016.0","4,540.0","4,540.0","-232.0","-4.9","62,983,500",7270
"16/12/30","4,800.0","4,976.0","4,580.0","4,772.0","+127.0","2.7","81,468,800",7270
"16/11/30","4,101.0","4,728.0","3,500.0","4,645.0","+551.0","13.5","109,468,400",7270
"16/10/31","3,799.0","4,107.0","3,744.0","4,094.0","+339.0","9","53,726,900",7270
"16/09/30","4,091.0","4,239.0","3,725.0","3,755.0","-343.0","-8.4","63,090,000",7270
"16/08/31","3,851.0","4,140.0","3,528.0","4,098.0","+83.0","2.1","74,092,600",7270
"16/07/29","3,503.0","4,106.0","3,252.0","4,015.0","+537.0","15.4","79,210,000",7270
"16/06/30","4,125.0","4,154.0","3,333.0","3,478.0","-672.0","-16.2","83,314,300",7270
"16/05/31","3,506.0","4,150.0","3,462.0","4,150.0","+434.0","11.7","83,345,400",7270
"16/04/28","3,930.0","4,027.0","3,275.0","3,716.0","-259.0","-6.5","111,079,200",7270
"16/03/31","3,672.0","4,136.0","3,586.0","3,975.0","+279.0","7.5","93,557,900",7270
"16/02/29","4,930.0","4,938.0","3,411.0","3,696.0","-1,160.0","-23.9","127,767,600",7270
"16/01/29","4,974.0","5,015.0","4,240.0","4,856.0","-171.0","-3.4","113,237,700",7270
"15/12/30","5,125.0","5,223.0","4,804.0","5,027.0","-61.0","-1.2","66,921,800",7270
"15/11/30","4,700.0","5,193.0","4,687.0","5,088.0","+360.0","7.6","66,862,800",7270
"15/10/30","4,325.0","4,780.0","4,256.0","4,728.0","+445.0","10.4","88,478,500",7270
"15/09/30","4,230.0","4,469.0","3,902.0","4,283.0","+12.5","0.3","76,855,100",7270
"15/08/31","4,540.0","4,724.5","3,669.0","4,270.5","-314.5","-6.9","92,817,600",7270
"15/07/31","4,549.0","4,660.0","4,122.0","4,585.0","+77.0","1.7","68,719,400",7270
"15/06/30","4,697.0","4,799.0","4,362.0","4,508.0","-190.0","-4","79,931,000",7270
