"日付","始値","高値","安値","終値","前月比","前月比％","売買高(株)","code"
"22/01/31","2,158.0","2,475.0","2,154.5","2,245.5","140","6.6","668,062,900",7203
"21/12/30","2,007.5","2,165.0","2,002.0","2,105.5","104.5","5.2","482,973,600",7203
"21/11/30","2,028.0","2,188.0","1,995.0","2,001.0","-5.5","-0.3","444,785,600",7203
"21/10/29","1,980.0","2,062.0","1,818.0","2,006.5","6.5","0.3","412,365,500",7203
"21/09/30","1,940.2","2,092.0","1,918.4","2,000.0","81.6","4.3","597,068,400",7203
"21/08/31","1,977.4","2,029.0","1,772.8","1,918.4","-42.6","-2.2","634,271,500",7203
"21/07/30","1,945.6","2,002.0","1,894.4","1,961.0","19","1","452,708,000",7203
"21/06/30","1,826.0","2,066.0","1,826.0","1,942.0","119","6.5","734,296,000",7203
"21/05/31","1,670.0","1,845.4","1,636.8","1,823.0","197.6","12.2","611,082,000",7203
"21/04/30","1,738.8","1,739.0","1,622.0","1,625.4","-97.8","-5.7","513,436,000",7203
"21/03/31","1,582.2","1,742.4","1,557.2","1,723.2","148.6","9.4","813,757,500",7203
"21/02/26","1,455.6","1,699.4","1,443.2","1,574.6","114.6","7.8","645,335,500",7203
"21/01/29","1,606.0","1,606.0","1,459.6","1,460.0","-131.4","-8.3","588,137,500",7203
"20/12/30","1,422.2","1,609.0","1,396.0","1,591.4","191.6","13.7","614,474,000",7203
"20/11/30","1,373.2","1,504.8","1,370.0","1,399.8","39.2","2.9","629,735,000",7203
"20/10/30","1,384.0","1,415.6","1,356.0","1,360.6","-25.8","-1.9","392,062,500",7203
"20/09/30","1,398.0","1,435.8","1,367.6","1,386.4","-14.8","-1.1","462,462,000",7203
"20/08/31","1,261.8","1,476.0","1,251.0","1,401.2","157.8","12.7","501,836,000",7203
"20/07/31","1,352.0","1,374.0","1,243.4","1,243.4","-109","-8.1","493,403,500",7203
"20/06/30","1,357.0","1,434.8","1,337.0","1,352.4","1.4","0.1","598,903,500",7203
"20/05/29","1,320.6","1,396.0","1,241.6","1,351.0","17.8","1.3","622,689,500",7203
"20/04/30","1,286.0","1,375.0","1,232.6","1,333.2","33","2.5","680,941,500",7203
"20/03/31","1,388.2","1,469.6","1,154.2","1,300.2","-125.2","-8.8","1,215,537,000",7203
"20/02/28","1,511.4","1,605.2","1,400.8","1,425.4","-105","-6.9","522,169,000",7203
"20/01/31","1,519.8","1,578.8","1,506.0","1,530.4","-12.4","-0.8","428,432,500",7203
"19/12/30","1,540.2","1,570.8","1,525.2","1,542.8","15.2","1","387,589,000",7203
"19/11/29","1,492.0","1,589.8","1,491.6","1,527.6","19.2","1.3","449,681,500",7203
"19/10/31","1,449.0","1,510.8","1,390.2","1,508.4","65.2","4.5","452,198,500",7203
"19/09/30","1,393.4","1,498.8","1,386.6","1,443.2","51.2","3.7","545,344,000",7203
"19/08/30","1,403.6","1,424.0","1,324.0","1,392.0","-12.8","-0.9","529,756,000",7203
"19/07/31","1,353.0","1,448.8","1,345.4","1,404.8","67.2","5","520,886,500",7203
"19/06/28","1,261.8","1,371.6","1,254.8","1,337.6","60.8","4.8","470,173,500",7203
"19/05/31","1,371.0","1,380.0","1,276.6","1,276.8","-104.2","-7.5","490,762,000",7203
"19/04/26","1,314.2","1,416.0","1,311.4","1,381.0","83.6","6.4","406,446,500",7203
"19/03/29","1,347.0","1,352.2","1,297.4","1,297.4","-42","-3.1","495,195,500",7203
"19/02/28","1,328.4","1,361.6","1,286.0","1,339.4","4.4","0.3","475,019,000",7203
"19/01/31","1,236.0","1,381.0","1,232.2","1,335.0","53.8","4.2","588,142,000",7203
"18/12/28","1,400.0","1,419.4","1,209.0","1,281.2","-79.4","-5.8","661,066,000",7203
"18/11/30","1,325.6","1,406.8","1,285.6","1,360.6","37.6","2.8","782,808,000",7203
"18/10/31","1,410.8","1,451.4","1,279.2","1,323.0","-96","-6.8","899,652,500",7203
"18/09/28","1,370.2","1,426.8","1,310.4","1,419.0","33","2.4","607,170,500",7203
"18/08/31","1,484.4","1,485.6","1,339.2","1,386.0","-75","-5.1","605,631,500",7203
"18/07/31","1,430.0","1,505.2","1,404.6","1,461.0","27","1.9","625,806,000",7203
"18/06/29","1,390.0","1,523.0","1,388.2","1,434.0","49.8","3.6","808,551,500",7203
"18/05/31","1,436.2","1,537.2","1,365.0","1,384.2","-52","-3.6","815,276,500",7203
"18/04/27","1,366.6","1,448.6","1,337.4","1,436.2","71.2","5.2","427,299,000",7203
"18/03/30","1,439.4","1,439.6","1,306.2","1,365.0","-82","-5.7","619,429,000",7203
"18/02/28","1,504.0","1,540.8","1,416.0","1,447.0","-49","-3.3","684,935,500",7203
"18/01/31","1,460.0","1,561.2","1,458.6","1,496.0","53.4","3.7","661,641,000",7203
"17/12/29","1,416.2","1,460.0","1,367.0","1,442.6","33.8","2.4","538,372,500",7203
"17/11/30","1,404.0","1,462.4","1,380.4","1,408.8","10.8","0.8","644,089,500",7203
"17/10/31","1,343.2","1,417.2","1,334.0","1,398.0","56","4.2","674,073,500",7203
"17/09/29","1,243.0","1,366.4","1,227.4","1,342.0","105.4","8.5","645,977,500",7203
"17/08/31","1,247.8","1,272.0","1,213.4","1,236.6","-10.2","-0.8","685,326,000",7203
"17/07/31","1,178.6","1,256.4","1,177.4","1,246.8","68.2","5.8","831,339,500",7203
"17/06/30","1,187.0","1,219.4","1,153.6","1,178.6","-7.8","-0.7","711,135,500",7203
"17/05/31","1,204.8","1,248.4","1,184.6","1,186.4","-20.6","-1.7","625,222,500",7203
"17/04/28","1,217.4","1,230.8","1,134.0","1,207.0","-1.4","-0.1","692,857,000",7203
"17/03/31","1,284.0","1,310.0","1,208.4","1,208.4","-64.6","-5.1","696,287,500",7203
"17/02/28","1,298.0","1,311.6","1,244.0","1,273.0","-43.8","-3.3","683,961,500",7203
"17/01/31","1,402.0","1,420.6","1,315.0","1,316.8","-58.8","-4.3","736,449,500",7203
"16/12/30","1,357.8","1,443.0","1,318.4","1,375.6","45.8","3.4","964,582,000",7203
"16/11/30","1,216.4","1,357.8","1,098.4","1,329.8","114","9.4","1,172,406,500",7203
"16/10/31","1,166.0","1,216.0","1,158.2","1,215.8","60","5.2","604,196,000",7203
"16/09/30","1,252.4","1,274.4","1,140.6","1,155.8","-91.8","-7.4","821,137,000",7203
"16/08/31","1,143.0","1,270.6","1,104.0","1,247.6","68.8","5.8","1,134,393,500",7203
"16/07/29","1,020.0","1,184.0","993.0","1,178.8","168.4","16.7","1,185,565,000",7203
"16/06/30","1,140.2","1,168.8","983.4","1,010.4","-146.2","-12.6","1,396,955,000",7203
"16/05/31","1,080.8","1,167.8","1,075.0","1,156.6","25.8","2.3","930,814,500",7203
"16/04/28","1,186.0","1,205.4","1,051.2","1,130.8","-59.6","-5","1,247,241,500",7203
"16/03/31","1,170.6","1,248.8","1,164.8","1,190.4","11","0.9","1,143,314,000",7203
"16/02/29","1,460.0","1,471.0","1,140.6","1,179.4","-260.6","-18.1","1,432,975,500",7203
"16/01/29","1,480.0","1,499.0","1,278.4","1,440.0","-57.6","-3.8","1,146,799,500",7203
"15/12/30","1,538.2","1,572.4","1,464.8","1,497.6","-33.8","-2.2","958,060,500",7203
"15/11/30","1,476.0","1,543.4","1,466.2","1,531.4","37.6","2.5","718,945,500",7203
"15/10/30","1,404.0","1,533.6","1,392.2","1,493.8","99.6","7.1","1,107,272,500",7203
"15/09/30","1,424.8","1,498.2","1,333.8","1,394.2","-44.2","-3.1","1,204,992,000",7203
"15/08/31","1,647.8","1,647.8","1,330.0","1,438.4","-212.2","-12.9","1,089,105,000",7203
"15/07/31","1,635.6","1,688.8","1,526.0","1,650.6","10","0.6","751,139,500",7203
"15/06/30","1,714.6","1,718.6","1,619.0","1,640.6","-80.2","-4.7","745,876,000",7203
"15/05/29","1,659.6","1,740.0","1,630.0","1,720.8","49.2","2.9","681,282,500",7203
"15/04/30","1,653.6","1,707.0","1,635.0","1,671.6","-5","-0.3","746,838,500",7203
"15/03/31","1,623.0","1,756.6","1,605.8","1,676.6","64","4","977,391,000",7203
"15/02/27","1,510.2","1,645.8","1,499.0","1,612.6","83.6","5.5","852,052,000",7203
"15/01/30","1,513.0","1,566.8","1,451.0","1,529.0","17.4","1.2","953,544,000",7203
"14/12/30","1,472.0","1,574.6","1,421.4","1,511.6","48.8","3.3","1,222,919,000",7203
"14/11/28","1,366.0","1,462.8","1,339.2","1,462.8","163.2","12.6","1,160,243,500",7203
"14/10/31","1,290.0","1,311.8","1,142.0","1,299.6","7","0.5","1,166,767,000",7203
"14/09/30","1,192.6","1,310.0","1,187.6","1,292.6","107","9","936,181,000",7203
"14/08/29","1,217.0","1,223.4","1,170.0","1,185.6","-41.8","-3.4","640,258,500",7203
"14/07/31","1,220.0","1,244.2","1,185.2","1,227.4","10.6","0.9","711,210,500",7203
"14/06/30","1,155.8","1,218.0","1,154.2","1,216.8","64.6","5.6","789,551,500",7203
"14/05/30","1,115.4","1,152.2","1,075.2","1,152.2","49","4.4","663,284,000",7203
"14/04/30","1,167.8","1,181.2","1,041.0","1,103.2","-62","-5.3","854,024,000",7203
"14/03/31","1,158.6","1,191.0","1,083.0","1,165.2","-2.6","-0.2","815,719,500",7203
"14/02/28","1,176.0","1,209.0","1,100.0","1,167.8","-16.6","-1.4","861,875,500",7203
"14/01/31","1,272.0","1,280.0","1,177.2","1,184.4","-99.6","-7.8","977,056,000",7203
"13/12/30","1,278.0","1,286.0","1,208.0","1,284.0","8","0.6","1,019,388,500",7203
"13/11/29","1,278.0","1,286.0","1,236.0","1,276.0","4","0.3","923,665,500",7203
"13/10/31","1,262.0","1,286.0","1,202.0","1,272.0","18","1.4","904,801,500",7203
"13/09/30","1,196.0","1,304.0","1,194.0","1,254.0","66","5.6","723,283,500",7203
"13/08/30","1,206.0","1,300.0","1,188.0","1,188.0","-6","-0.5","1,091,712,500",7203
"13/07/31","1,214.0","1,308.0","1,178.0","1,194.0","-4","-0.3","1,059,385,500",7203
"13/06/28","1,182.0","1,210.0","1,072.0","1,198.0","-4","-0.3","1,663,320,500",7203
"13/05/31","1,128.0","1,352.0","1,092.0","1,202.0","74","6.6","1,935,922,500",7203
"13/04/30","979.0","1,158.0","922.0","1,128.0","156","16","1,463,267,500",7203
"13/03/29","943.0","1,010.0","940.0","972.0","19","2","1,050,667,500",7203
"13/02/28","884.0","1,010.0","883.0","953.0","80","9.2","1,420,666,500",7203
"13/01/31","840.0","878.0","806.0","873.0","72","9","1,036,461,500",7203
"12/12/28","708.0","803.0","692.0","801.0","94","13.3","839,755,500",7203
"12/11/30","616.0","732.0","610.0","707.0","94","15.3","832,196,500",7203
"12/10/31","602.0","638.0","574.6","613.0","5","0.8","685,717,500",7203
"12/09/28","618.0","656.0","604.0","608.0","-11","-1.8","590,588,000",7203
"12/08/31","596.0","660.0","596.0","619.0","15","2.5","664,328,500",7203
"12/07/31","646.0","652.0","559.0","604.0","-34","-5.3","576,444,000",7203
"12/06/29","596.4","644","577","638","30","4.9","788,557,000",7203
"12/05/31","656","656","598","608","-53","-8","770,086,000",7203
"12/04/27","721","728","645","661","-53","-7.4","749,429,500",7203
"12/03/30","676","727","644","714","43","6.4","950,259,500",7203
"12/02/29","559","692","556.8","671","109","19.4","1,019,537,500",7203
"12/01/31","522.2","581.2","510.6","562","49","9.6","681,636,000",7203
"11/12/30","517","538","494.4","513","11.2","2.2","642,291,500",7203
"11/11/30","520.4","525","466","501.8","-27","-5.1","752,757,500",7203
"11/10/31","525.8","542","500","528.8","-8.8","-1.6","628,956,500",7203
"11/09/30","548","556","512.4","537.6","-9.2","-1.7","879,329,500",7203
"11/08/31","634","644","539.2","546.8","-84.2","-13.3","1,251,909,500",7203
"11/07/29","664","696","629","631","-29","-4.4","624,119,500",7203
"11/06/30","683","684","631","660","-20","-2.9","726,580,500",7203
"11/05/31","660","685","633","680","34","5.3","819,773,500",7203
"11/04/28","671","676","619","646","-24","-3.6","962,526,500",7203
"11/03/31","765","773","566","670","-94","-12.3","1,441,284,000",7203
"11/02/28","677","791","669","764","84","12.4","1,138,324,000",7203
"11/01/31","650","719","648","680","36","5.6","808,771,500",7203
"10/12/30","650","667","640","644","0","0","827,442,500",7203
"10/11/30","566.2","668","560","644","72.2","12.6","1,048,048,000",7203
"10/10/29","601","604","566","571.8","-27.8","-4.6","909,762,000",7203
"10/09/30","570","631","561.2","599.6","27.6","4.8","1,018,424,000",7203
"10/08/31","612","639","570","572","-38","-6.2","1,035,877,000",7203
"10/07/30","608","656","600","610","-6","-1","762,692,500",7203
"10/06/30","652","677","606","616","-40","-6.1","918,870,500",7203
"10/05/31","712","732","635","656","-77","-10.5","1,078,280,000",7203
"10/04/30","751","766","712","733","-16","-2.1","974,945,500",7203
"10/03/31","666","759","656","749","83","12.5","1,176,891,500",7203
"10/02/26","699","730","639","666","-32","-4.6","2,061,942,000",7203
"10/01/29","780","847","696","698","-78","-10.1","1,189,117,000",7203
"22/05/31","327","398","322","385","58","17.7","377,329,200",7211
"22/04/28","323","336","301","327","-4","-1.2","254,882,000",7211
"22/03/31","304","334","253","331","31","10.3","373,017,200",7211
"22/02/28","330","339","296","300","-25","-7.7","277,204,100",7211
"22/01/31","327","349","302","325","4","1.2","283,267,700",7211
"21/12/30","358","368","313","321","-45","-12.3","292,216,700",7211
"21/11/30","369","426","360","366","3","0.8","358,215,300",7211
"21/10/29","303","389","289","363","56","18.2","510,023,100",7211
"21/09/30","282","310","273","307","26","9.3","268,381,500",7211
"21/08/31","303","310","267","281","-25","-8.2","253,108,600",7211
"21/07/30","312","326","276","306","-6","-1.9","317,113,000",7211
"21/06/30","307","330","292","312","8","2.6","226,600,500",7211
"21/05/31","300","315","286","304","8","2.7","243,696,600",7211
"21/04/30","317","323","278","296","-19","-6","284,935,700",7211
"21/03/31","304","348","292","315","13","4.3","527,725,100",7211
"21/02/26","237","324","236","302","65","27.4","545,870,800",7211
"21/01/29","220","256","207","237","20","9.2","320,939,000",7211
"20/12/30","188","228","187","217","29","15.4","325,521,300",7211
"20/11/30","195","210","188","188","-2","-1.1","376,836,600",7211
"20/10/30","234","247","190","190","-41","-17.7","174,792,200",7211
"20/09/30","258","267","221","231","-24","-9.4","138,169,600",7211
"20/08/31","206","262","206","255","49","23.8","171,035,700",7211
"20/07/31","271","297","205","206","-60","-22.6","215,157,900",7211
"20/06/30","303","352","263","266","-38","-12.5","218,373,100",7211
"20/05/29","296","339","275","304","-1","-0.3","143,995,800",7211
"20/04/30","303","326","276","305","-1","-0.3","167,735,000",7211
"20/03/31","350","371","268","306","-53","-14.8","250,903,700",7211
"20/02/28","399","427","355","359","-54","-13.1","97,984,000",7211
"20/01/31","452","460","406","413","-45","-9.8","90,766,000",7211
"19/12/30","493","497","453","458","-32","-6.5","62,335,500",7211
"19/11/29","490","534","480","490","-8","-1.6","84,499,400",7211
"19/10/31","474","504","452","498","29","6.2","69,827,300",7211
"19/09/30","444","512","436","469","25","5.6","81,903,200",7211
"19/08/30","480","488","412","444","-38","-7.9","80,888,900",7211
"19/07/31","523","534","475","482","-34","-6.6","80,938,500",7211
"19/06/28","502","536","491","516","4","0.8","81,246,000",7211
"19/05/31","632","633","473","512","-111","-17.8","118,274,800",7211
"19/04/26","597","649","595","623","35","6","57,808,900",7211
"19/03/29","626","647","585","588","-37","-5.9","79,186,100",7211
"19/02/28","667","675","615","625","-48","-7.1","75,440,300",7211
"19/01/31","572","684","569","673","71","11.8","69,815,400",7211
"18/12/28","705","712","557","602","-94","-13.5","98,541,600",7211
"18/11/30","717","768","658","696","-15","-2.1","165,417,700",7211
"18/10/31","792","807","670","711","-91","-11.3","115,244,200",7211
"18/09/28","780","809","730","802","10","1.3","77,578,000",7211
"18/08/31","860","877","782","792","-58","-6.8","95,942,300",7211
"18/07/31","874","934","829","850","-33","-3.7","146,814,100",7211
"18/06/29","824","894","820","883","59","7.2","105,295,400",7211
"18/05/31","815","903","783","824","8","1","135,006,500",7211
"18/04/27","761","826","750","816","55","7.2","120,354,600",7211
"18/03/30","838","844","733","761","-88","-10.4","162,228,900",7211
"18/02/28","815","868","801","849","40","4.9","168,937,800",7211
"18/01/31","825","904","809","809","-5","-0.6","134,773,400",7211
"17/12/29","797","827","790","814","29","3.7","104,687,800",7211
"17/11/30","906","918","784","785","-116","-12.9","144,411,700",7211
"17/10/31","885","942","884","901","11","1.2","138,135,200",7211
"17/09/29","812","922","774","890","78","9.6","140,187,500",7211
"17/08/31","798","817","770","812","14","1.8","111,694,300",7211
"17/07/31","738","844","733","798","58","7.8","166,772,700",7211
"17/06/30","718","757","711","740","22","3.1","137,667,000",7211
"17/05/31","706","781","706","718","5","0.7","193,202,500",7211
"17/04/28","667","715","620","713","44","6.6","201,973,300",7211
"17/03/31","730","740","668","669","-58","-8","186,052,600",7211
"17/02/28","650","754","648","727","114","18.6","400,047,000",7211
"17/01/31","680","720","612","613","-53","-8","259,330,700",7211
"16/12/30","539","696","533","666","137","25.9","408,776,100",7211
"16/11/30","582","584","499","529","-56","-9.6","256,969,400",7211
"16/10/31","474","603","465","585","116","24.7","369,437,800",7211
"16/09/30","473","505","457","469","-4","-0.8","114,934,100",7211
"16/08/31","472","489","450","473","-9","-1.9","115,549,300",7211
"16/07/29","472","521","436","482","13","2.8","155,761,100",7211
"16/06/30","576","582","462","469","-110","-19","236,168,200",7211
"16/05/31","459","612","453","579","130","29","575,577,900",7211
"16/04/28","836","880","412","449","-394","-46.7","837,683,500",7211
"16/03/31","798","874","785","843","39","4.9","75,749,200",7211
"16/02/29","986","987","773","804","-158","-16.4","117,010,100",7211
"16/01/29","1,033","1,043","882","962","-68","-6.6","83,711,200",7211
"15/12/30","1,090","1,132","1,006","1,030","-66","-6","77,741,900",7211
"15/11/30","1,060","1,119","1,030","1,096","16","1.5","82,794,500",7211
"15/10/30","913","1,103","903","1,080","168","18.4","124,635,600",7211
"15/09/30","930","990","882","912","-19","-2","90,204,500",7211
"15/08/31","1,050","1,102","871","931","-124","-11.8","130,824,300",7211
"15/07/31","1,040","1,124","970","1,055","13","1.2","100,012,000",7211
"15/06/30","1,149","1,166","1,026","1,042","-115","-9.9","90,973,200",7211
"15/05/29","1,102","1,168","1,094","1,157","50","4.5","70,184,400",7211
"15/04/30","1,073","1,152","1,052","1,107","22","2","107,521,900",7211
"15/03/31","1,062","1,129","1,061","1,085","26","2.5","100,706,600",7211
"15/02/27","1,002","1,100","1,001","1,059","55","5.5","101,487,000",7211
"15/01/30","1,101","1,123","1,003","1,004","-106","-9.5","101,130,100",7211
"14/12/30","1,225","1,254","1,057","1,110","-110","-9","102,206,600",7211
"14/11/28","1,190","1,248","1,147","1,220","87","7.7","94,825,900",7211
"14/10/31","1,310","1,314","1,073","1,133","-198","-14.9","138,255,700",7211
"14/09/30","1,187","1,353","1,174","1,331","148","12.5","112,106,100",7211
"14/08/29","1,168","1,204","1,098","1,183","-2","-0.2","89,464,000",7211
"14/07/31","1,118","1,200","1,100","1,185","67","6","96,415,500",7211
"14/06/30","1,042","1,137","1,042","1,118","82","7.9","88,280,400",7211
"14/05/30","1,097","1,118","1,002","1,036","-70","-6.3","79,593,700",7211
"14/04/30","1,088","1,145","1,026","1,106","26","2.4","102,261,500",7211
"14/03/31","1,111","1,173","1,015","1,080","-46","-4.1","130,664,600",7211
"14/02/28","1,105","1,135","1,028","1,126","10","0.9","145,032,800",7211
"14/01/31","1,128","1,291","1,063","1,116","-13","-1.2","361,221,400",7211
"13/12/30","1,113","1,135","1,033","1,129","19","1.7","68,429,400",7211
"13/11/29","1,102","1,177","1,061","1,110","12","1.1","100,379,300",7211
"13/10/31","1,095","1,185","1,000","1,098","14","1.3","96,295,700",7211
"13/09/30","1,035","1,142","997","1,084","49","4.7","98,244,600",7211
"13/08/30","1,283","1,344","1,030","1,035","-259","-20","96,483,200",7211
"13/07/31","1,360","1,680","1,275","1,294","-66","-4.9","259,756,600",7211
"13/06/28","1,560","1,570","1,240","1,360","-230","-14.5","218,870,500",7211
"13/05/31","1,150","2,260","1,110","1,590","440","38.3","557,143,680",7211
"13/04/30","980","1,290","910","1,150","170","17.3","146,826,800",7211
"13/03/29","1,000","1,170","960","980","-40","-3.9","62,857,600",7211
"13/02/28","950","1,280","950","1,020","70","7.4","121,124,700",7211
"13/01/31","940","950","890","950","60","6.7","41,393,400",7211
"12/12/28","770","920","760","890","120","15.6","47,251,500",7211
"12/11/30","700","780","680","770","80","11.6","22,583,100",7211
"12/10/31","710","720","660","690","-30","-4.2","18,207,300",7211
"12/09/28","720","750","680","720","-10","-1.4","11,875,600",7211
"12/08/31","740","780","720","730","-20","-2.7","10,089,300",7211
"12/07/31","800","820","660","750","-50","-6.2","14,863,100",7211
"12/06/29","760","810","730","800","30","3.9","18,046,000",7211
"12/05/31","910","910","720","770","-130","-14.4","27,598,300",7211
"12/04/27","950","960","890","900","-40","-4.3","16,461,800",7211
"12/03/30","970","980","920","940","-30","-3.1","19,532,500",7211
"12/02/29","930","1,010","920","970","50","5.4","32,389,100",7211
"12/01/31","910","970","890","920","10","1.1","16,893,900",7211
"11/12/30","940","960","890","910","-10","-1.1","11,622,200",7211
"11/11/30","1,030","1,040","880","920","-130","-12.4","17,574,000",7211
"11/10/31","1,020","1,070","990","1,050","20","1.9","18,445,000",7211
"11/09/30","990","1,060","960","1,030","50","5.1","16,418,900",7211
"11/08/31","1,010","1,040","910","980","-30","-3","25,710,600",7211
"11/07/29","980","1,070","980","1,010","30","3.1","21,768,600",7211
"11/06/30","960","990","930","980","20","2.1","21,259,600",7211
"11/05/31","1,000","1,010","930","960","-30","-3","14,094,600",7211
"11/04/28","1,030","1,050","950","990","-30","-2.9","17,140,500",7211
"11/03/31","1,160","1,180","820","1,020","-140","-12.1","31,196,400",7211
"11/02/28","1,150","1,220","1,130","1,160","20","1.8","22,609,300",7211
"11/01/31","1,200","1,240","1,130","1,140","-40","-3.4","24,298,300",7211
"10/12/30","1,130","1,290","1,130","1,180","50","4.4","31,960,000",7211
"10/11/30","960","1,200","930","1,130","170","17.7","29,168,800",7211
"10/10/29","1,090","1,100","930","960","-130","-11.9","26,529,100",7211
"10/09/30","1,060","1,120","1,060","1,090","20","1.9","16,261,700",7211
"10/08/31","1,130","1,150","1,050","1,070","-60","-5.3","19,372,300",7211
"10/07/30","1,120","1,180","1,110","1,130","0","0","17,701,000",7211
"10/06/30","1,160","1,190","1,120","1,130","-30","-2.6","20,012,500",7211
"10/05/31","1,270","1,280","1,130","1,160","-130","-10.1","27,181,600",7211
"10/04/30","1,280","1,340","1,260","1,290","20","1.6","28,818,300",7211
"10/03/31","1,270","1,330","1,150","1,270","0","0","41,128,700",7211
"10/02/26","1,260","1,300","1,200","1,270","20","1.6","25,306,600",7211
"10/01/29","1,280","1,450","1,240","1,250","-30","-2.3","42,007,700",7211
"22/05/31","925","1,137","923","1,089","160","17.2","128,965,700",7261
"22/04/28","895","959","843","929","20","2.2","87,822,900",7261
"22/03/31","857","929","715","909","53","6.2","150,030,200",7261
"22/02/28","888","938","851","856","-28","-3.2","91,588,700",7261
"22/01/31","915","1,025","864","884","-1","-0.1","102,047,500",7261
"21/12/30","924","953","873","885","-33","-3.6","95,866,000",7261
"21/11/30","1,044","1,096","916","918","-101","-9.9","87,591,200",7261
"21/10/29","957","1,090","887","1,019","43","4.4","90,516,200",7261
"21/09/30","963","1,013","920","976","21","2.2","81,089,800",7261
"21/08/31","1,031","1,046","900","955","-117","-10.9","92,686,200",7261
"21/07/30","1,053","1,116","978","1,072","28","2.7","85,891,200",7261
"21/06/30","943","1,078","925","1,044","109","11.7","93,520,600",7261
"21/05/31","860","970","817","935","89","10.5","81,014,200",7261
"21/04/30","916","920","813","846","-56","-6.2","77,673,700",7261
"21/03/31","849","953","839","902","63","7.5","109,837,100",7261
"21/02/26","753","1,000","750","839","95","12.8","133,259,400",7261
"21/01/29","693","800","663","744","52","7.5","103,189,500",7261
"20/12/30","627","712","623","692","75","12.2","101,219,300",7261
"20/11/30","556","704","556","617","71","13","145,786,000",7261
"20/10/30","621","637","544","546","-65","-10.6","107,155,200",7261
"20/09/30","679","703","601","611","-69","-10.1","102,396,200",7261
"20/08/31","596","698","565","680","89","15.1","142,208,900",7261
"20/07/31","649","744","588","591","-55","-8.5","139,532,500",7261
"20/06/30","681","848","612","646","-43","-6.2","203,964,800",7261
"20/05/29","595","758","546","689","77","12.6","140,514,400",7261
"20/04/30","562","617","505","612","40","7","147,328,400",7261
"20/03/31","735","776","543","572","-178","-23.7","168,647,400",7261
"20/02/28","910","957","744","750","-184","-19.7","81,713,500",7261
"20/01/31","925","1,030","913","934","-4","-0.4","77,002,800",7261
"19/12/30","975","988","922","938","-32","-3.3","61,564,600",7261
"19/11/29","975","1,059","943","970","-35","-3.5","58,877,600",7261
"19/10/31","965","1,038","917","1,005","45","4.7","77,188,400",7261
"19/09/30","890","1,026","864","959","67","7.5","96,619,700",7261
"19/08/30","1,057","1,082","855","892","-186","-17.3","114,734,900",7261
"19/07/31","1,145","1,151","1,074","1,079","-45","-4","58,446,300",7261
"19/06/28","1,050","1,150","1,040","1,124","63","5.9","76,687,500",7261
"19/05/31","1,304","1,322","1,044","1,061","-254","-19.3","84,322,500",7261
"19/04/26","1,256","1,370","1,243","1,315","77","6.2","62,189,500",7261
"19/03/29","1,313","1,329","1,212","1,238","-69","-5.3","63,383,800",7261
"19/02/28","1,202","1,329","1,194","1,307","108","9","74,525,500",7261
"19/01/31","1,099","1,232","1,084","1,199","64","5.6","72,582,100",7261
"18/12/28","1,225","1,266","1,069","1,135","-75","-6.2","96,244,700",7261
"18/11/30","1,203","1,248","1,147","1,210","-14","-1.1","102,002,300",7261
"18/10/31","1,363","1,376","1,182","1,224","-140","-10.3","102,205,200",7261
"18/09/28","1,282","1,382","1,225","1,364","75","5.8","81,805,700",7261
"18/08/31","1,386","1,396","1,260","1,288","-101","-7.3","98,447,900",7261
"18/07/31","1,348","1,410","1,302","1,390","30","2.2","80,068,000",7261
"18/06/29","1,385","1,444","1,338","1,360","-10","-0.7","87,672,700",7261
"18/05/31","1,465","1,499","1,351","1,370","-151","-9.9","101,189,100",7261
"18/04/27","1,401","1,542","1,382","1,521","115","8.2","87,196,800",7261
"18/03/30","1,480","1,481","1,360","1,406","-90","-6","113,742,900",7261
"18/02/28","1,534","1,560","1,456","1,496","-33","-2.2","127,777,500",7261
"18/01/31","1,530","1,612","1,529","1,529","18","1.2","93,936,400",7261
"17/12/29","1,506","1,539","1,467","1,511","8","0.5","94,286,500",7261
"17/11/30","1,639","1,657","1,463","1,503","-119","-7.3","136,751,700",7261
"17/10/31","1,719","1,783","1,583","1,622","-103","-6","127,590,000",7261
"17/09/29","1,625","1,758","1,540","1,725","106","6.5","101,876,200",7261
"17/08/31","1,666","1,738","1,581","1,619","-45","-2.7","121,026,500",7261
"17/07/31","1,573","1,681","1,558","1,664","96","6.1","114,751,800",7261
"17/06/30","1,504","1,569","1,488","1,568","58","3.8","120,763,800",7261
"17/05/31","1,583","1,643","1,495","1,510","-124","-7.6","108,834,700",7261
"17/04/28","1,603","1,661","1,439","1,634","31","1.9","133,953,900",7261
"17/03/31","1,601","1,690","1,545","1,603","27","1.7","131,363,300",7261
"17/02/28","1,629","1,656","1,514","1,576","-92","-5.5","131,400,600",7261
"17/01/31","1,938","1,978","1,630","1,668","-244","-12.8","130,034,600",7261
"16/12/30","1,935","2,066","1,830","1,912","78","4.3","146,255,500",7261
"16/11/30","1,722","1,924","1,455","1,834","106","6.1","196,864,100",7261
"16/10/31","1,551","1,737","1,537","1,727","196","12.8","94,947,200",7261
"16/09/30","1,706","1,767","1,501","1,531","-174","-10.2","114,321,000",7261
"16/08/31","1,508","1,721","1,438","1,705","158","10.2","146,693,200",7261
