"X2","code","騰落率","リスク（標準偏差）","シャープレシオ"
"6ヶ月","JP90C000F9K5",-1.24,10.75,-0.18
"1年","JP90C000F9K5",-7.39,11.88,-0.59
"3年","JP90C000F9K5",29.76,19.75,0.54
"5年","JP90C000F9K5",NA,NA,NA
"10年","JP90C000F9K5",NA,NA,NA
"6ヶ月","JP90C000F9M1",-0.89,16.02,-0.04
"1年","JP90C000F9M1",-4.11,14.34,-0.22
"3年","JP90C000F9M1",39.18,17.22,0.73
"5年","JP90C000F9M1",NA,NA,NA
"10年","JP90C000F9M1",NA,NA,NA
"6ヶ月","JP90C000FBV7",0.96,19.75,0.18
"1年","JP90C000FBV7",9.24,15.11,0.66
"3年","JP90C000FBV7",61.83,17.66,1
"5年","JP90C000FBV7",NA,NA,NA
"10年","JP90C000FBV7",NA,NA,NA
"6ヶ月","JP90C000FCD3",1.21,22.7,0.2
"1年","JP90C000FCD3",16.69,17.16,0.98
"3年","JP90C000FCD3",81.37,17.83,1.21
"5年","JP90C000FCD3",NA,NA,NA
"10年","JP90C000FCD3",NA,NA,NA
"6ヶ月","JP90C000FCE1",-9.6,18.01,-1.03
"1年","JP90C000FCE1",-1.45,15.04,-0.02
"3年","JP90C000FCE1",41.56,17.5,0.75
"5年","JP90C000FCE1",NA,NA,NA
"10年","JP90C000FCE1",NA,NA,NA
"6ヶ月","JP90C000FD92",0.89,11.91,0.2
"1年","JP90C000FD92",4.82,8.78,0.58
"3年","JP90C000FD92",21.54,9.62,0.73
"5年","JP90C000FD92",NA,NA,NA
"10年","JP90C000FD92",NA,NA,NA
"6ヶ月","JP90C000FDM2",0.48,11.65,0.13
"1年","JP90C000FDM2",4.27,8.89,0.51
"3年","JP90C000FDM2",29.03,10.15,0.89
"5年","JP90C000FDM2",NA,NA,NA
"10年","JP90C000FDM2",NA,NA,NA
"6ヶ月","JP90C000FED9",0.57,15.47,0.14
"1年","JP90C000FED9",-1.72,11.75,-0.09
"3年","JP90C000FED9",29.01,15.83,0.62
"5年","JP90C000FED9",NA,NA,NA
"10年","JP90C000FED9",NA,NA,NA
"6ヶ月","JP90C000FFC8",1.15,12.99,0.23
"1年","JP90C000FFC8",5.39,9.62,0.59
"3年","JP90C000FFC8",28.3,11.35,0.79
"5年","JP90C000FFC8",NA,NA,NA
"10年","JP90C000FFC8",NA,NA,NA
"6ヶ月","JP90C000FFX4",1.06,22.7,0.19
"1年","JP90C000FFX4",16.38,17.16,0.97
"3年","JP90C000FFX4",80.18,17.84,1.2
"5年","JP90C000FFX4",NA,NA,NA
"10年","JP90C000FFX4",NA,NA,NA
"6ヶ月","JP90C000FH72",-1.33,3.74,-0.69
"1年","JP90C000FH72",-1.56,2.83,-0.54
"3年","JP90C000FH72",-1.09,4.03,-0.06
"5年","JP90C000FH72",NA,NA,NA
"10年","JP90C000FH72",NA,NA,NA
"6ヶ月","JP90C000FHC4",0.74,19.02,0.16
"1年","JP90C000FHC4",8.22,14.66,0.61
"3年","JP90C000FHC4",60.93,17.59,1
"5年","JP90C000FHC4",NA,NA,NA
"10年","JP90C000FHC4",NA,NA,NA
"6ヶ月","JP90C000FHD2",-1.13,22.77,-0.01
"1年","JP90C000FHD2",12.49,17.31,0.76
"3年","JP90C000FHD2",77.27,18.57,1.13
"5年","JP90C000FHD2",NA,NA,NA
"10年","JP90C000FHD2",NA,NA,NA
"6ヶ月","JP90C000FHE0",-0.09,10.01,0.02
"1年","JP90C000FHE0",2.55,7.65,0.37
"3年","JP90C000FHE0",25.84,10.23,0.81
"5年","JP90C000FHE0",NA,NA,NA
"10年","JP90C000FHE0",NA,NA,NA
"6ヶ月","JP90C000FHF7",0.55,12.86,0.14
"1年","JP90C000FHF7",3.6,9.95,0.4
"3年","JP90C000FHF7",34.67,13.51,0.81
"5年","JP90C000FHF7",NA,NA,NA
"10年","JP90C000FHF7",NA,NA,NA
"6ヶ月","JP90C000FHG5",0.59,14.3,0.14
"1年","JP90C000FHG5",2.81,11.13,0.3
"3年","JP90C000FHG5",43.13,15.41,0.86
"5年","JP90C000FHG5",NA,NA,NA
"10年","JP90C000FHG5",NA,NA,NA
"6ヶ月","JP90C000FHZ5",1.17,20.25,0.2
"1年","JP90C000FHZ5",10.05,15.66,0.69
"3年","JP90C000FHZ5",64.88,18.09,1.02
"5年","JP90C000FHZ5",NA,NA,NA
"10年","JP90C000FHZ5",NA,NA,NA
"6ヶ月","JP90C000FJ05",-0.96,15.77,-0.05
"1年","JP90C000FJ05",-4.01,14.27,-0.22
"3年","JP90C000FJ05",39.15,17.14,0.73
"5年","JP90C000FJ05",NA,NA,NA
"10年","JP90C000FJ05",NA,NA,NA
"6ヶ月","JP90C000FJY4",0.77,11.32,0.18
"1年","JP90C000FJY4",3.36,8.38,0.44
"3年","JP90C000FJY4",30.06,10.95,0.86
"5年","JP90C000FJY4",NA,NA,NA
"10年","JP90C000FJY4",NA,NA,NA
"6ヶ月","JP90C000FK36",-1.02,10.19,-0.16
"1年","JP90C000FK36",-7.09,11.68,-0.57
"3年","JP90C000FK36",32.36,19.4,0.58
"5年","JP90C000FK36",NA,NA,NA
"10年","JP90C000FK36",NA,NA,NA
"6ヶ月","JP90C000FK44",1.15,12.93,0.23
"1年","JP90C000FK44",5.36,9.54,0.59
"3年","JP90C000FK44",29.73,10.91,0.85
"5年","JP90C000FK44",NA,NA,NA
"10年","JP90C000FK44",NA,NA,NA
"6ヶ月","JP90C000FLK9",1.45,21.71,0.22
"1年","JP90C000FLK9",12.7,16.69,0.8
"3年","JP90C000FLK9",69.76,18.44,1.06
"5年","JP90C000FLK9",NA,NA,NA
"10年","JP90C000FLK9",NA,NA,NA
"6ヶ月","JP90C000FLL7",-0.95,15.73,-0.05
"1年","JP90C000FLL7",-3.96,14.25,-0.22
"3年","JP90C000FLL7",39.13,17.13,0.73
"5年","JP90C000FLL7",NA,NA,NA
"10年","JP90C000FLL7",NA,NA,NA
"6ヶ月","JP90C000FN25",-5.76,3.91,-3
"1年","JP90C000FN25",-4.13,3.92,-1.05
"3年","JP90C000FN25",4.92,4.04,0.42
"5年","JP90C000FN25",NA,NA,NA
"10年","JP90C000FN25",NA,NA,NA
"6ヶ月","JP90C000FN33",-4.5,8.65,-1.02
"1年","JP90C000FN33",-1.18,7.08,-0.13
"3年","JP90C000FN33",18.72,8.11,0.75
"5年","JP90C000FN33",NA,NA,NA
"10年","JP90C000FN33",NA,NA,NA
"6ヶ月","JP90C000FN41",-2.65,13.75,-0.33
"1年","JP90C000FN41",2.75,10.61,0.31
"3年","JP90C000FN41",32.63,12.99,0.79
"5年","JP90C000FN41",NA,NA,NA
"10年","JP90C000FN41",NA,NA,NA
"6ヶ月","JP90C000FNK5",0.22,14.21,0.09
"1年","JP90C000FNK5",2.04,11.23,0.23
"3年","JP90C000FNK5",44.97,15.64,0.88
"5年","JP90C000FNK5",NA,NA,NA
"10年","JP90C000FNK5",NA,NA,NA
"6ヶ月","JP90C000FNL3",1.44,15.9,0.25
"1年","JP90C000FNL3",4.87,12.13,0.45
"3年","JP90C000FNL3",38.09,16.24,0.75
"5年","JP90C000FNL3",NA,NA,NA
"10年","JP90C000FNL3",NA,NA,NA
"6ヶ月","JP90C000FNM1",0.2,9.58,0.08
"1年","JP90C000FNM1",2.14,7.27,0.33
"3年","JP90C000FNM1",21.43,8.4,0.82
"5年","JP90C000FNM1",NA,NA,NA
"10年","JP90C000FNM1",NA,NA,NA
"6ヶ月","JP90C000FNN9",-1.17,4.45,-0.51
"1年","JP90C000FNN9",-1.14,3.33,-0.32
"3年","JP90C000FNN9",6.16,4.5,0.47
"5年","JP90C000FNN9",NA,NA,NA
"10年","JP90C000FNN9",NA,NA,NA
"6ヶ月","JP90C000FQQ5",0.47,7.38,0.16
"1年","JP90C000FQQ5",-4.96,11.75,-0.37
"3年","JP90C000FQQ5",31.6,18.55,0.59
"5年","JP90C000FQQ5",NA,NA,NA
"10年","JP90C000FQQ5",NA,NA,NA
"6ヶ月","JP90C000FQR3",0.85,18.88,0.17
"1年","JP90C000FQR3",7.93,14.55,0.59
"3年","JP90C000FQR3",59.96,17.62,0.98
"5年","JP90C000FQR3",NA,NA,NA
"10年","JP90C000FQR3",NA,NA,NA
"6ヶ月","JP90C000FS95",0.8,14.12,0.17
"1年","JP90C000FS95",6.35,10.49,0.64
"3年","JP90C000FS95",35.86,10.46,1.04
"5年","JP90C000FS95",NA,NA,NA
"10年","JP90C000FS95",NA,NA,NA
"6ヶ月","JP90C000FSN8",-0.8,10.32,-0.11
"1年","JP90C000FSN8",-6.63,11.5,-0.54
"3年","JP90C000FSN8",33.12,19.43,0.59
"5年","JP90C000FSN8",NA,NA,NA
"10年","JP90C000FSN8",NA,NA,NA
"6ヶ月","JP90C000FSP3",0.48,12.01,0.13
"1年","JP90C000FSP3",1.63,10.96,0.2
"3年","JP90C000FSP3",34.95,14.97,0.74
"5年","JP90C000FSP3",NA,NA,NA
"10年","JP90C000FSP3",NA,NA,NA
"6ヶ月","JP90C000FVY9",1.04,20.17,0.19
"1年","JP90C000FVY9",9.25,15.29,0.65
"3年","JP90C000FVY9",62.08,17.84,1
"5年","JP90C000FVY9",NA,NA,NA
"10年","JP90C000FVY9",NA,NA,NA
"6ヶ月","JP90C000FX72",-4.59,1.78,-5.23
"1年","JP90C000FX72",-4.24,2.09,-2.05
"3年","JP90C000FX72",-1.97,2.38,-0.25
"5年","JP90C000FX72",NA,NA,NA
"10年","JP90C000FX72",NA,NA,NA
"6ヶ月","JP90C000FX80",-4.2,5.38,-1.57
"1年","JP90C000FX80",-3.03,4.31,-0.69
"3年","JP90C000FX80",6.48,5.04,0.45
"5年","JP90C000FX80",NA,NA,NA
"10年","JP90C000FX80",NA,NA,NA
"6ヶ月","JP90C000FX98",-3.2,7.41,-0.84
"1年","JP90C000FX98",-1.45,5.68,-0.23
"3年","JP90C000FX98",11.76,7.07,0.56
"5年","JP90C000FX98",NA,NA,NA
"10年","JP90C000FX98",NA,NA,NA
"6ヶ月","JP90C000FXA5",-1.74,10.67,-0.28
"1年","JP90C000FXA5",1.27,7.98,0.2
"3年","JP90C000FXA5",21.12,10.26,0.68
"5年","JP90C000FXA5",NA,NA,NA
"10年","JP90C000FXA5",NA,NA,NA
"6ヶ月","JP90C000FXB3",-0.29,13.96,0.02
"1年","JP90C000FXB3",3.79,10.32,0.41
"3年","JP90C000FXB3",29.87,13.38,0.72
"5年","JP90C000FXB3",NA,NA,NA
"10年","JP90C000FXB3",NA,NA,NA
"6ヶ月","JP90C000FXV1",-0.91,15.73,-0.05
"1年","JP90C000FXV1",-3.86,14.26,-0.21
"3年","JP90C000FXV1",39.46,17.14,0.73
"5年","JP90C000FXV1",NA,NA,NA
"10年","JP90C000FXV1",NA,NA,NA
"6ヶ月","JP90C000G631",1.21,20.19,0.2
"1年","JP90C000G631",10.11,15.61,0.69
"3年","JP90C000G631",65.07,18.09,1.02
"5年","JP90C000G631",NA,NA,NA
"10年","JP90C000G631",NA,NA,NA
"6ヶ月","JP90C000G664",0.62,15.11,0.14
"1年","JP90C000G664",6.64,11.55,0.61
"3年","JP90C000G664",41.38,12.88,0.97
"5年","JP90C000G664",NA,NA,NA
"10年","JP90C000G664",NA,NA,NA
"6ヶ月","JP90C000G672",-3.15,5.86,-1.06
"1年","JP90C000G672",-0.6,4.91,-0.1
"3年","JP90C000G672",11.91,4.6,0.85
"5年","JP90C000G672",NA,NA,NA
"10年","JP90C000G672",NA,NA,NA
"6ヶ月","JP90C000G680",-0.84,11.42,-0.1
"1年","JP90C000G680",3.79,8.82,0.47
"3年","JP90C000G680",29.03,9.6,0.94
"5年","JP90C000G680",NA,NA,NA
"10年","JP90C000G680",NA,NA,NA
"6ヶ月","JP90C000G7W3",0.53,14.1,0.13
"1年","JP90C000G7W3",2.6,11.07,0.28
"3年","JP90C000G7W3",45.98,15.6,0.89
"5年","JP90C000G7W3",NA,NA,NA
"10年","JP90C000G7W3",NA,NA,NA
"6ヶ月","JP90C000GB28",0.23,8.76,0.09
"1年","JP90C000GB28",0.38,6.93,0.09
"3年","JP90C000GB28",24.26,9.68,0.8
"5年","JP90C000GB28",NA,NA,NA
"10年","JP90C000GB28",NA,NA,NA
"6ヶ月","JP90C000GKC6",1.29,22.7,0.21
"1年","JP90C000GKC6",16.86,17.16,0.99
"3年","JP90C000GKC6",81.98,17.82,1.22
"5年","JP90C000GKC6",NA,NA,NA
"10年","JP90C000GKC6",NA,NA,NA
"6ヶ月","JP90C000GMQ2",-1.91,13.35,-0.23
"1年","JP90C000GMQ2",3.33,10.44,0.36
"3年","JP90C000GMQ2",40.12,12.27,0.98
"5年","JP90C000GMQ2",NA,NA,NA
"10年","JP90C000GMQ2",NA,NA,NA
"6ヶ月","JP90C000GMR0",-3.89,9.65,-0.78
"1年","JP90C000GMR0",-0.07,7.79,0.03
"3年","JP90C000GMR0",26.42,8.95,0.92
"5年","JP90C000GMR0",NA,NA,NA
"10年","JP90C000GMR0",NA,NA,NA
"6ヶ月","JP90C000GMS8",-5.93,6.12,-1.96
"1年","JP90C000GMS8",-3.5,5.47,-0.62
"3年","JP90C000GMS8",13.02,6.1,0.7
"5年","JP90C000GMS8",NA,NA,NA
"10年","JP90C000GMS8",NA,NA,NA
"6ヶ月","JP90C000GV81",-1.3,4.84,-0.6
"1年","JP90C000GV81",-0.56,3.4,-0.1
"3年","JP90C000GV81",7.14,3.31,0.75
"5年","JP90C000GV81",NA,NA,NA
"10年","JP90C000GV81",NA,NA,NA
"6ヶ月","JP90C000GV99",-0.55,7.16,-0.1
"1年","JP90C000GV99",0.37,5.12,0.2
"3年","JP90C000GV99",13.81,6.17,0.8
"5年","JP90C000GV99",NA,NA,NA
"10年","JP90C000GV99",NA,NA,NA
"6ヶ月","JP90C000GVW1",1.84,23.11,0.25
"1年","JP90C000GVW1",8.78,16.37,0.59
"3年","JP90C000GVW1",59.05,19.03,0.92
"5年","JP90C000GVW1",NA,NA,NA
"10年","JP90C000GVW1",NA,NA,NA
"6ヶ月","JP90C000H1T1",1.14,19.77,0.2
"1年","JP90C000H1T1",9.62,15.11,0.68
"3年","JP90C000H1T1",63.21,17.66,1.02
"5年","JP90C000H1T1",NA,NA,NA
"10年","JP90C000H1T1",NA,NA,NA
"6ヶ月","JP90C000HZE8",1.03,19.78,0.19
"1年","JP90C000HZE8",9.48,15.13,0.67
"3年","JP90C000HZE8",NA,NA,NA
"5年","JP90C000HZE8",NA,NA,NA
"10年","JP90C000HZE8",NA,NA,NA
"6ヶ月","JP90C000J5T0",0.3,10.87,0.1
"1年","JP90C000J5T0",4.09,7.92,0.55
"3年","JP90C000J5T0",NA,NA,NA
"5年","JP90C000J5T0",NA,NA,NA
"10年","JP90C000J5T0",NA,NA,NA
"6ヶ月","JP90C000J5U8",0.32,11.22,0.1
"1年","JP90C000J5U8",4.22,8.18,0.55
"3年","JP90C000J5U8",NA,NA,NA
"5年","JP90C000J5U8",NA,NA,NA
"10年","JP90C000J5U8",NA,NA,NA
"6ヶ月","JP90C000J5V6",0.39,11.54,0.12
"1年","JP90C000J5V6",4.41,8.42,0.56
"3年","JP90C000J5V6",NA,NA,NA
"5年","JP90C000J5V6",NA,NA,NA
"10年","JP90C000J5V6",NA,NA,NA
"6ヶ月","JP90C000J5W4",0.52,12.19,0.14
"1年","JP90C000J5W4",4.78,8.89,0.57
"3年","JP90C000J5W4",NA,NA,NA
"5年","JP90C000J5W4",NA,NA,NA
"10年","JP90C000J5W4",NA,NA,NA
"6ヶ月","JP90C000JTA5",-0.79,15.75,-0.03
"1年","JP90C000JTA5",-3.94,14.27,-0.21
"3年","JP90C000JTA5",NA,NA,NA
"5年","JP90C000JTA5",NA,NA,NA
"10年","JP90C000JTA5",NA,NA,NA
"6ヶ月","JP90C000JUG0",1.18,22.62,0.2
"1年","JP90C000JUG0",16.5,17.1,0.98
"3年","JP90C000JUG0",NA,NA,NA
"5年","JP90C000JUG0",NA,NA,NA
"10年","JP90C000JUG0",NA,NA,NA
"6ヶ月","JP90C000JUK2",2.63,24.27,0.31
"1年","JP90C000JUK2",18.96,18.29,1.04
"3年","JP90C000JUK2",NA,NA,NA
"5年","JP90C000JUK2",NA,NA,NA
"10年","JP90C000JUK2",NA,NA,NA
"6ヶ月","JP90C000JUL0",0.86,15.51,0.18
"1年","JP90C000JUL0",-1.51,11.8,-0.07
"3年","JP90C000JUL0",NA,NA,NA
"5年","JP90C000JUL0",NA,NA,NA
"10年","JP90C000JUL0",NA,NA,NA
"6ヶ月","JP90C000JX03",1.22,22.7,0.2
"1年","JP90C000JX03",16.72,17.16,0.99
"3年","JP90C000JX03",NA,NA,NA
"5年","JP90C000JX03",NA,NA,NA
"10年","JP90C000JX03",NA,NA,NA
"6ヶ月","JP90C000JX11",1.07,19.67,0.19
"1年","JP90C000JX11",9.46,15.04,0.67
"3年","JP90C000JX11",NA,NA,NA
"5年","JP90C000JX11",NA,NA,NA
"10年","JP90C000JX11",NA,NA,NA
"6ヶ月","JP90C000KBY1",1.08,22.71,0.19
"1年","JP90C000KBY1",16.24,17.17,0.96
"3年","JP90C000KBY1",NA,NA,NA
"5年","JP90C000KBY1",NA,NA,NA
"10年","JP90C000KBY1",NA,NA,NA
"6ヶ月","JP90C000KCW3",0.39,16.07,0.12
"1年","JP90C000KCW3",3.68,12.94,0.34
"3年","JP90C000KCW3",NA,NA,NA
"5年","JP90C000KCW3",NA,NA,NA
"10年","JP90C000KCW3",NA,NA,NA
"6ヶ月","JP90C000KQ33",-0.48,18.57,0.03
"1年","JP90C000KQ33",4.9,13.18,0.43
"3年","JP90C000KQ33",NA,NA,NA
"5年","JP90C000KQ33",NA,NA,NA
"10年","JP90C000KQ33",NA,NA,NA
"6ヶ月","JP90C000KQ41",1.36,22.11,0.21
"1年","JP90C000KQ41",8.16,15.66,0.57
"3年","JP90C000KQ41",NA,NA,NA
"5年","JP90C000KQ41",NA,NA,NA
"10年","JP90C000KQ41",NA,NA,NA
"6ヶ月","JP90C000LZD2",-6.98,5.92,-2.4
"1年","JP90C000LZD2",NA,NA,NA
"3年","JP90C000LZD2",NA,NA,NA
"5年","JP90C000LZD2",NA,NA,NA
"10年","JP90C000LZD2",NA,NA,NA
"6ヶ月","JP90C000LZE0",-5.86,8.33,-1.41
"1年","JP90C000LZE0",NA,NA,NA
"3年","JP90C000LZE0",NA,NA,NA
"5年","JP90C000LZE0",NA,NA,NA
"10年","JP90C000LZE0",NA,NA,NA
"6ヶ月","JP90C000LZF7",-4.59,10.86,-0.82
"1年","JP90C000LZF7",NA,NA,NA
"3年","JP90C000LZF7",NA,NA,NA
"5年","JP90C000LZF7",NA,NA,NA
"10年","JP90C000LZF7",NA,NA,NA
"6ヶ月","JP90C000LZG5",-3.65,13.19,-0.51
"1年","JP90C000LZG5",NA,NA,NA
"3年","JP90C000LZG5",NA,NA,NA
"5年","JP90C000LZG5",NA,NA,NA
"10年","JP90C000LZG5",NA,NA,NA
"6ヶ月","JP90C000LZH3",-2.75,15.29,-0.3
"1年","JP90C000LZH3",NA,NA,NA
"3年","JP90C000LZH3",NA,NA,NA
"5年","JP90C000LZH3",NA,NA,NA
"10年","JP90C000LZH3",NA,NA,NA
