"X2","code","騰落率","リスク（標準偏差）","シャープレシオ"
"5年","JP90C00055W4",34.23,14.71,0.48
"10年","JP90C00055W4",218.18,15.73,0.82
"6ヶ月","JP90C00055X2",1.29,21.7,0.21
"1年","JP90C00055X2",12.33,16.69,0.78
"3年","JP90C00055X2",68.08,18.44,1.04
"5年","JP90C00055X2",86.8,17.21,0.82
"10年","JP90C00055X2",369.68,16.53,1.02
"6ヶ月","JP90C0005FR3",-0.13,8.89,0.01
"1年","JP90C0005FR3",2.55,6.49,0.42
"3年","JP90C0005FR3",25.1,7.8,1
"5年","JP90C0005FR3",30.13,7.8,0.72
"10年","JP90C0005FR3",137.16,8.73,1.04
"6ヶ月","JP90C0005FS1",0,9.63,0.04
"1年","JP90C0005FS1",2.96,7.04,0.45
"3年","JP90C0005FS1",27.06,8.31,1.01
"5年","JP90C0005FS1",32.23,8.29,0.72
"10年","JP90C0005FS1",147.24,9.2,1.03
"6ヶ月","JP90C0005Z76",-0.95,10.32,-0.14
"1年","JP90C0005Z76",-6.9,11.5,-0.57
"3年","JP90C0005Z76",31.94,19.42,0.58
"5年","JP90C0005Z76",32.28,18.33,0.4
"10年","JP90C0005Z76",127,17.65,0.56
"6ヶ月","JP90C0006026",0.52,10.9,0.14
"1年","JP90C0006026",2.46,8.57,0.33
"3年","JP90C0006026",30.93,10.44,0.92
"5年","JP90C0006026",36.41,9.89,0.68
"10年","JP90C0006026",140.08,10.56,0.88
"6ヶ月","JP90C0006083",-2.46,17.04,-0.22
"1年","JP90C0006083",0.43,14.32,0.1
"3年","JP90C0006083",47.78,15.66,0.91
"5年","JP90C0006083",48.06,15.67,0.58
"10年","JP90C0006083",244.32,15.36,0.89
"6ヶ月","JP90C0006K23",1.27,21.77,0.21
"1年","JP90C0006K23",12.4,16.75,0.78
"3年","JP90C0006K23",68.82,18.49,1.04
"5年","JP90C0006K23",87.71,17.26,0.82
"10年","JP90C0006K23",372.85,16.57,1.03
"6ヶ月","JP90C0006LC1",-1.06,15.72,-0.07
"1年","JP90C0006LC1",-4.14,14.25,-0.23
"3年","JP90C0006LC1",38.27,17.13,0.72
"5年","JP90C0006LC1",49.61,16.54,0.57
"10年","JP90C0006LC1",267.76,16.68,0.87
"6ヶ月","JP90C0006LD9",0.36,12.01,0.11
"1年","JP90C0006LD9",1.39,10.95,0.18
"3年","JP90C0006LD9",34.06,14.97,0.73
"5年","JP90C0006LD9",33.97,14.71,0.47
"10年","JP90C0006LD9",217.14,15.73,0.82
"6ヶ月","JP90C0006LG2",1.24,21.7,0.2
"1年","JP90C0006LG2",12.24,16.69,0.77
"3年","JP90C0006LG2",67.62,18.43,1.03
"5年","JP90C0006LG2",85.83,17.2,0.81
"10年","JP90C0006LG2",362.75,16.53,1.02
"6ヶ月","JP90C0006LK4",-1.15,10.43,-0.18
"1年","JP90C0006LK4",-7.3,11.55,-0.6
"3年","JP90C0006LK4",31.09,19.51,0.57
"5年","JP90C0006LK4",31.2,18.38,0.39
"10年","JP90C0006LK4",123.66,17.73,0.55
"6ヶ月","JP90C0006Y84",0.82,16.59,0.17
"1年","JP90C0006Y84",7.95,12.5,0.67
"3年","JP90C0006Y84",41.97,13.52,0.94
"5年","JP90C0006Y84",50.38,12.51,0.72
"10年","JP90C0006Y84",207.77,12.37,0.97
"6ヶ月","JP90C0006ZN8",1.72,21.61,0.25
"1年","JP90C0006ZN8",13,16.61,0.82
"3年","JP90C0006ZN8",70.4,18.39,1.07
"5年","JP90C0006ZN8",90.8,17.19,0.84
"10年","JP90C0006ZN8",377.17,16.53,1.03
"6ヶ月","JP90C00074C7",0.92,20.18,0.17
"1年","JP90C00074C7",9.5,15.61,0.66
"3年","JP90C00074C7",62.43,18.08,0.99
"5年","JP90C00074C7",77.81,16.93,0.77
"10年","JP90C00074C7",323.26,16.27,0.97
"6ヶ月","JP90C00074E3",-1.05,15.73,-0.07
"1年","JP90C00074E3",-4.16,14.25,-0.23
"3年","JP90C00074E3",38.23,17.13,0.72
"5年","JP90C00074E3",49.59,16.53,0.57
"10年","JP90C00074E3",269.21,16.68,0.87
"6ヶ月","JP90C0007DM5",0.39,12.04,0.12
"1年","JP90C0007DM5",1.4,10.98,0.18
"3年","JP90C0007DM5",34.04,14.98,0.73
"5年","JP90C0007DM5",34,14.71,0.47
"10年","JP90C0007DM5",216.87,15.72,0.81
"6ヶ月","JP90C0007DN3",-1.08,15.77,-0.07
"1年","JP90C0007DN3",-4.25,14.27,-0.24
"3年","JP90C0007DN3",38.09,17.13,0.71
