商品,期間,騰落率,リスク（標準偏差）,シャープレシオ
A,3年,11.76,7.07,0.56
B,3年,13.81,6.17,0.8
C,3年,44.97,15.64,0.88
D,3年,38.09,16.24,0.75
E,3年,31.6,18.55,0.59
F,3年,39.18,17.22,0.73
G,3年,35.21,14.98,0.75
H,3年,35.79,15.32,0.74
J,3年,31.94,19.42,0.58
K,3年,6.48,5.04,0.45
