"code","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C0009L37","10年",NA,NA,NA
"JP90C0009VE0","6ヶ月",1.41,21.65,0.22
"JP90C0009VE0","1年",12.7,16.67,0.8
"JP90C0009VE0","3年",70.26,18.44,1.06
"JP90C0009VE0","5年",90.44,17.21,0.84
"JP90C0009VE0","10年",NA,NA,NA
"JP90C000A0B8","6ヶ月",0.29,12.57,0.1
"JP90C000A0B8","1年",1.15,11.41,0.15
"JP90C000A0B8","3年",35.8,15.32,0.74
"JP90C000A0B8","5年",35.73,14.9,0.49
"JP90C000A0B8","10年",NA,NA,NA
"JP90C000A808","6ヶ月",0.33,12.61,0.11
"JP90C000A808","1年",1.14,11.44,0.15
"JP90C000A808","3年",35.79,15.32,0.74
"JP90C000A808","5年",35.59,14.91,0.49
"JP90C000A808","10年",NA,NA,NA
"JP90C000A9Q7","6ヶ月",0.26,12.59,0.1
"JP90C000A9Q7","1年",1.02,11.41,0.14
"JP90C000A9Q7","3年",35.66,15.32,0.74
"JP90C000A9Q7","5年",35.35,14.91,0.48
"JP90C000A9Q7","10年",NA,NA,NA
"JP90C000ADD2","6ヶ月",-7.7,10.21,-1.51
"JP90C000ADD2","1年",-4.69,8.02,-0.56
"JP90C000ADD2","3年",15.46,9.28,0.57
"JP90C000ADD2","5年",18.67,8.73,0.44
"JP90C000ADD2","10年",NA,NA,NA
"JP90C000AYS6","6ヶ月",0.5,20.55,0.13
"JP90C000AYS6","1年",6.75,14.57,0.52
"JP90C000AYS6","3年",51.01,17.17,0.89
"JP90C000AYS6","5年",63.2,16.33,0.69
"JP90C000AYS6","10年",NA,NA,NA
"JP90C000B9U8","6ヶ月",0.41,12.6,0.12
"JP90C000B9U8","1年",1.3,11.43,0.17
"JP90C000B9U8","3年",35.89,15.27,0.75
"JP90C000B9U8","5年",35.2,14.88,0.48
"JP90C000B9U8","10年",NA,NA,NA
"JP90C000BRT6","6ヶ月",0.54,12.05,0.14
"JP90C000BRT6","1年",1.65,10.99,0.2
"JP90C000BRT6","3年",35.06,14.99,0.75
"JP90C000BRT6","5年",35.63,14.72,0.49
"JP90C000BRT6","10年",NA,NA,NA
"JP90C000C7B1","6ヶ月",0.06,9.9,0.06
"JP90C000C7B1","1年",3.39,7.22,0.5
"JP90C000C7B1","3年",28.49,7.95,1.1
"JP90C000C7B1","5年",34.34,7.86,0.8
"JP90C000C7B1","10年",NA,NA,NA
"JP90C000C838","6ヶ月",-4.88,13.75,-0.67
"JP90C000C838","1年",-2.89,10.19,-0.24
"JP90C000C838","3年",18.22,13.79,0.48
"JP90C000C838","5年",21.68,11.94,0.39
"JP90C000C838","10年",NA,NA,NA
"JP90C000C8G8","6ヶ月",0.01,9.89,0.05
"JP90C000C8G8","1年",3.16,7.21,0.47
"JP90C000C8G8","3年",26.43,8.05,1.02
"JP90C000C8G8","5年",31.66,7.92,0.74
"JP90C000C8G8","10年",NA,NA,NA
"JP90C000CG01","6ヶ月",2.52,14.16,0.41
"JP90C000CG01","1年",7.41,10.67,0.72
"JP90C000CG01","3年",40.02,11.95,1
"JP90C000CG01","5年",47.87,11.23,0.76
"JP90C000CG01","10年",NA,NA,NA
"JP90C000CJS3","6ヶ月",-1.5,16.34,-0.12
"JP90C000CJS3","1年",3.52,11.64,0.35
"JP90C000CJS3","3年",37.94,13.84,0.85
"JP90C000CJS3","5年",47.34,13.17,0.66
"JP90C000CJS3","10年",NA,NA,NA
"JP90C000CMF4","6ヶ月",-0.96,15.72,-0.06
"JP90C000CMF4","1年",-3.9,14.25,-0.21
"JP90C000CMF4","3年",39.25,17.15,0.73
"JP90C000CMF4","5年",51.02,16.55,0.58
"JP90C000CMF4","10年",NA,NA,NA
"JP90C000CMK4","6ヶ月",1.44,21.7,0.22
"JP90C000CMK4","1年",12.75,16.7,0.8
"JP90C000CMK4","3年",70.21,18.47,1.06
"JP90C000CMK4","5年",90.37,17.24,0.84
"JP90C000CMK4","10年",NA,NA,NA
"JP90C000CZ57","6ヶ月",-1.5,10.68,-0.24
"JP90C000CZ57","1年",-7.63,11.74,-0.62
"JP90C000CZ57","3年",28.04,19.88,0.52
"JP90C000CZ57","5年",27.82,18.64,0.36
"JP90C000CZ57","10年",NA,NA,NA
"JP90C000D1X7","6ヶ月",-0.75,5.84,-0.23
"JP90C000D1X7","1年",0.83,4.31,0.22
"JP90C000D1X7","3年",11.28,4.23,0.87
"JP90C000D1X7","5年",14.88,3.96,0.73
"JP90C000D1X7","10年",NA,NA,NA
"JP90C000D1Y5","6ヶ月",-0.02,8.4,0.03
"JP90C000D1Y5","1年",2.12,6.22,0.37
"JP90C000D1Y5","3年",19.42,7.37,0.85
"JP90C000D1Y5","5年",24.3,6.74,0.69
"JP90C000D1Y5","10年",NA,NA,NA
"JP90C000D1Z2","6ヶ月",0.63,10.57,0.16
"JP90C000D1Z2","1年",3.19,7.93,0.44
"JP90C000D1Z2","3年",26.42,10.32,0.81
"JP90C000D1Z2","5年",32.58,9.38,0.65
"JP90C000D1Z2","10年",NA,NA,NA
"JP90C000D208","6ヶ月",1.37,13.78,0.26
"JP90C000D208","1年",4.66,10.39,0.49
"JP90C000D208","3年",36.43,13.93,0.82
"JP90C000D208","5年",43.96,12.64,0.65
"JP90C000D208","10年",NA,NA,NA
"JP90C000D216","6ヶ月",0.61,14.31,0.15
"JP90C000D216","1年",2.88,11.13,0.31
"JP90C000D216","3年",43.39,15.41,0.86
"JP90C000D216","5年",48.67,14.73,0.62
"JP90C000D216","10年",NA,NA,NA
"JP90C000D3K0","6ヶ月",-9.94,25.12,-0.72
"JP90C000D3K0","1年",-0.03,19.8,0.09
"JP90C000D3K0","3年",65.05,19.43,0.96
"JP90C000D3K0","5年",84.8,17.98,0.78
"JP90C000D3K0","10年",NA,NA,NA
"JP90C000DPW0","6ヶ月",-0.93,15.68,-0.05
"JP90C000DPW0","1年",-3.98,14.24,-0.22
"JP90C000DPW0","3年",38.55,17.17,0.72
"JP90C000DPW0","5年",49.78,16.56,0.57
"JP90C000DPW0","10年",NA,NA,NA
"JP90C000DVK3","6ヶ月",-0.9,15.74,-0.05
"JP90C000DVK3","1年",-3.86,14.27,-0.21
"JP90C000DVK3","3年",39.73,17.15,0.74
"JP90C000DVK3","5年",51.97,16.54,0.59
"JP90C000DVK3","10年",NA,NA,NA
"JP90C000DVL1","6ヶ月",0.56,11.99,0.14
"JP90C000DVL1","1年",1.73,10.96,0.21
"JP90C000DVL1","3年",35.32,14.98,0.75
