"code","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C000F9K5","1年",-7.39,11.88,-0.59
"JP90C000F9K5","3年",29.76,19.75,0.54
"JP90C000F9K5","5年",NA,NA,NA
"JP90C000F9K5","10年",NA,NA,NA
"JP90C000F9M1","6ヶ月",-0.89,16.02,-0.04
"JP90C000F9M1","1年",-4.11,14.34,-0.22
"JP90C000F9M1","3年",39.18,17.22,0.73
"JP90C000F9M1","5年",NA,NA,NA
"JP90C000F9M1","10年",NA,NA,NA
"JP90C000FBV7","6ヶ月",0.96,19.75,0.18
"JP90C000FBV7","1年",9.24,15.11,0.66
"JP90C000FBV7","3年",61.83,17.66,1
"JP90C000FBV7","5年",NA,NA,NA
"JP90C000FBV7","10年",NA,NA,NA
"JP90C000FCD3","6ヶ月",1.21,22.7,0.2
"JP90C000FCD3","1年",16.69,17.16,0.98
"JP90C000FCD3","3年",81.37,17.83,1.21
"JP90C000FCD3","5年",NA,NA,NA
"JP90C000FCD3","10年",NA,NA,NA
"JP90C000FCE1","6ヶ月",-9.6,18.01,-1.03
"JP90C000FCE1","1年",-1.45,15.04,-0.02
"JP90C000FCE1","3年",41.56,17.5,0.75
"JP90C000FCE1","5年",NA,NA,NA
"JP90C000FCE1","10年",NA,NA,NA
"JP90C000FD92","6ヶ月",0.89,11.91,0.2
"JP90C000FD92","1年",4.82,8.78,0.58
"JP90C000FD92","3年",21.54,9.62,0.73
"JP90C000FD92","5年",NA,NA,NA
"JP90C000FD92","10年",NA,NA,NA
"JP90C000FDM2","6ヶ月",0.48,11.65,0.13
"JP90C000FDM2","1年",4.27,8.89,0.51
"JP90C000FDM2","3年",29.03,10.15,0.89
"JP90C000FDM2","5年",NA,NA,NA
"JP90C000FDM2","10年",NA,NA,NA
"JP90C000FED9","6ヶ月",0.57,15.47,0.14
"JP90C000FED9","1年",-1.72,11.75,-0.09
"JP90C000FED9","3年",29.01,15.83,0.62
"JP90C000FED9","5年",NA,NA,NA
"JP90C000FED9","10年",NA,NA,NA
"JP90C000FFC8","6ヶ月",1.15,12.99,0.23
"JP90C000FFC8","1年",5.39,9.62,0.59
"JP90C000FFC8","3年",28.3,11.35,0.79
"JP90C000FFC8","5年",NA,NA,NA
"JP90C000FFC8","10年",NA,NA,NA
"JP90C000FFX4","6ヶ月",1.06,22.7,0.19
"JP90C000FFX4","1年",16.38,17.16,0.97
"JP90C000FFX4","3年",80.18,17.84,1.2
"JP90C000FFX4","5年",NA,NA,NA
"JP90C000FFX4","10年",NA,NA,NA
"JP90C000FH72","6ヶ月",-1.33,3.74,-0.69
"JP90C000FH72","1年",-1.56,2.83,-0.54
"JP90C000FH72","3年",-1.09,4.03,-0.06
"JP90C000FH72","5年",NA,NA,NA
"JP90C000FH72","10年",NA,NA,NA
"JP90C000FHC4","6ヶ月",0.74,19.02,0.16
"JP90C000FHC4","1年",8.22,14.66,0.61
"JP90C000FHC4","3年",60.93,17.59,1
"JP90C000FHC4","5年",NA,NA,NA
"JP90C000FHC4","10年",NA,NA,NA
"JP90C000FHD2","6ヶ月",-1.13,22.77,-0.01
"JP90C000FHD2","1年",12.49,17.31,0.76
"JP90C000FHD2","3年",77.27,18.57,1.13
"JP90C000FHD2","5年",NA,NA,NA
"JP90C000FHD2","10年",NA,NA,NA
"JP90C000FHE0","6ヶ月",-0.09,10.01,0.02
"JP90C000FHE0","1年",2.55,7.65,0.37
"JP90C000FHE0","3年",25.84,10.23,0.81
"JP90C000FHE0","5年",NA,NA,NA
"JP90C000FHE0","10年",NA,NA,NA
"JP90C000FHF7","6ヶ月",0.55,12.86,0.14
"JP90C000FHF7","1年",3.6,9.95,0.4
"JP90C000FHF7","3年",34.67,13.51,0.81
"JP90C000FHF7","5年",NA,NA,NA
"JP90C000FHF7","10年",NA,NA,NA
"JP90C000FHG5","6ヶ月",0.59,14.3,0.14
"JP90C000FHG5","1年",2.81,11.13,0.3
"JP90C000FHG5","3年",43.13,15.41,0.86
"JP90C000FHG5","5年",NA,NA,NA
"JP90C000FHG5","10年",NA,NA,NA
"JP90C000FHZ5","6ヶ月",1.17,20.25,0.2
"JP90C000FHZ5","1年",10.05,15.66,0.69
"JP90C000FHZ5","3年",64.88,18.09,1.02
"JP90C000FHZ5","5年",NA,NA,NA
"JP90C000FHZ5","10年",NA,NA,NA
"JP90C000FJ05","6ヶ月",-0.96,15.77,-0.05
"JP90C000FJ05","1年",-4.01,14.27,-0.22
"JP90C000FJ05","3年",39.15,17.14,0.73
"JP90C000FJ05","5年",NA,NA,NA
"JP90C000FJ05","10年",NA,NA,NA
"JP90C000FJY4","6ヶ月",0.77,11.32,0.18
"JP90C000FJY4","1年",3.36,8.38,0.44
"JP90C000FJY4","3年",30.06,10.95,0.86
"JP90C000FJY4","5年",NA,NA,NA
"JP90C000FJY4","10年",NA,NA,NA
"JP90C000FK36","6ヶ月",-1.02,10.19,-0.16
"JP90C000FK36","1年",-7.09,11.68,-0.57
"JP90C000FK36","3年",32.36,19.4,0.58
"JP90C000FK36","5年",NA,NA,NA
"JP90C000FK36","10年",NA,NA,NA
"JP90C000FK44","6ヶ月",1.15,12.93,0.23
"JP90C000FK44","1年",5.36,9.54,0.59
"JP90C000FK44","3年",29.73,10.91,0.85
"JP90C000FK44","5年",NA,NA,NA
"JP90C000FK44","10年",NA,NA,NA
"JP90C000FLK9","6ヶ月",1.45,21.71,0.22
"JP90C000FLK9","1年",12.7,16.69,0.8
"JP90C000FLK9","3年",69.76,18.44,1.06
"JP90C000FLK9","5年",NA,NA,NA
"JP90C000FLK9","10年",NA,NA,NA
"JP90C000FLL7","6ヶ月",-0.95,15.73,-0.05
"JP90C000FLL7","1年",-3.96,14.25,-0.22
"JP90C000FLL7","3年",39.13,17.13,0.73
"JP90C000FLL7","5年",NA,NA,NA
"JP90C000FLL7","10年",NA,NA,NA
"JP90C000FN25","6ヶ月",-5.76,3.91,-3
"JP90C000FN25","1年",-4.13,3.92,-1.05
"JP90C000FN25","3年",4.92,4.04,0.42
"JP90C000FN25","5年",NA,NA,NA
"JP90C000FN25","10年",NA,NA,NA
"JP90C000FN33","6ヶ月",-4.5,8.65,-1.02
"JP90C000FN33","1年",-1.18,7.08,-0.13
"JP90C000FN33","3年",18.72,8.11,0.75
"JP90C000FN33","5年",NA,NA,NA
"JP90C000FN33","10年",NA,NA,NA
"JP90C000FN41","6ヶ月",-2.65,13.75,-0.33
"JP90C000FN41","1年",2.75,10.61,0.31
"JP90C000FN41","3年",32.63,12.99,0.79
"JP90C000FN41","5年",NA,NA,NA
"JP90C000FN41","10年",NA,NA,NA
"JP90C000FNK5","6ヶ月",0.22,14.21,0.09
"JP90C000FNK5","1年",2.04,11.23,0.23
"JP90C000FNK5","3年",44.97,15.64,0.88
"JP90C000FNK5","5年",NA,NA,NA
"JP90C000FNK5","10年",NA,NA,NA
"JP90C000FNL3","6ヶ月",1.44,15.9,0.25
"JP90C000FNL3","1年",4.87,12.13,0.45
"JP90C000FNL3","3年",38.09,16.24,0.75
"JP90C000FNL3","5年",NA,NA,NA
"JP90C000FNL3","10年",NA,NA,NA
"JP90C000FNM1","6ヶ月",0.2,9.58,0.08
"JP90C000FNM1","1年",2.14,7.27,0.33
"JP90C000FNM1","3年",21.43,8.4,0.82
"JP90C000FNM1","5年",NA,NA,NA
"JP90C000FNM1","10年",NA,NA,NA
"JP90C000FNN9","6ヶ月",-1.17,4.45,-0.51
"JP90C000FNN9","1年",-1.14,3.33,-0.32
"JP90C000FNN9","3年",6.16,4.5,0.47
"JP90C000FNN9","5年",NA,NA,NA
"JP90C000FNN9","10年",NA,NA,NA
"JP90C000FQQ5","6ヶ月",0.47,7.38,0.16
"JP90C000FQQ5","1年",-4.96,11.75,-0.37
"JP90C000FQQ5","3年",31.6,18.55,0.59
"JP90C000FQQ5","5年",NA,NA,NA
"JP90C000FQQ5","10年",NA,NA,NA
"JP90C000FQR3","6ヶ月",0.85,18.88,0.17
"JP90C000FQR3","1年",7.93,14.55,0.59
"JP90C000FQR3","3年",59.96,17.62,0.98
"JP90C000FQR3","5年",NA,NA,NA
"JP90C000FQR3","10年",NA,NA,NA
"JP90C000FS95","6ヶ月",0.8,14.12,0.17
"JP90C000FS95","1年",6.35,10.49,0.64
"JP90C000FS95","3年",35.86,10.46,1.04
"JP90C000FS95","5年",NA,NA,NA
"JP90C000FS95","10年",NA,NA,NA
"JP90C000FSN8","6ヶ月",-0.8,10.32,-0.11
"JP90C000FSN8","1年",-6.63,11.5,-0.54
"JP90C000FSN8","3年",33.12,19.43,0.59
"JP90C000FSN8","5年",NA,NA,NA
"JP90C000FSN8","10年",NA,NA,NA
"JP90C000FSP3","6ヶ月",0.48,12.01,0.13
"JP90C000FSP3","1年",1.63,10.96,0.2
"JP90C000FSP3","3年",34.95,14.97,0.74
"JP90C000FSP3","5年",NA,NA,NA
"JP90C000FSP3","10年",NA,NA,NA
"JP90C000FVY9","6ヶ月",1.04,20.17,0.19
"JP90C000FVY9","1年",9.25,15.29,0.65
"JP90C000FVY9","3年",62.08,17.84,1
"JP90C000FVY9","5年",NA,NA,NA
"JP90C000FVY9","10年",NA,NA,NA
"JP90C000FX72","6ヶ月",-4.59,1.78,-5.23
"JP90C000FX72","1年",-4.24,2.09,-2.05
"JP90C000FX72","3年",-1.97,2.38,-0.25
"JP90C000FX72","5年",NA,NA,NA
"JP90C000FX72","10年",NA,NA,NA
"JP90C000FX80","6ヶ月",-4.2,5.38,-1.57
"JP90C000FX80","1年",-3.03,4.31,-0.69
"JP90C000FX80","3年",6.48,5.04,0.45
"JP90C000FX80","5年",NA,NA,NA
"JP90C000FX80","10年",NA,NA,NA
"JP90C000FX98","6ヶ月",-3.2,7.41,-0.84
"JP90C000FX98","1年",-1.45,5.68,-0.23
"JP90C000FX98","3年",11.76,7.07,0.56
"JP90C000FX98","5年",NA,NA,NA
"JP90C000FX98","10年",NA,NA,NA
"JP90C000FXA5","6ヶ月",-1.74,10.67,-0.28
"JP90C000FXA5","1年",1.27,7.98,0.2
"JP90C000FXA5","3年",21.12,10.26,0.68
"JP90C000FXA5","5年",NA,NA,NA
"JP90C000FXA5","10年",NA,NA,NA
"JP90C000FXB3","6ヶ月",-0.29,13.96,0.02
"JP90C000FXB3","1年",3.79,10.32,0.41
"JP90C000FXB3","3年",29.87,13.38,0.72
"JP90C000FXB3","5年",NA,NA,NA
"JP90C000FXB3","10年",NA,NA,NA
"JP90C000FXV1","6ヶ月",-0.91,15.73,-0.05
"JP90C000FXV1","1年",-3.86,14.26,-0.21
"JP90C000FXV1","3年",39.46,17.14,0.73
"JP90C000FXV1","5年",NA,NA,NA
"JP90C000FXV1","10年",NA,NA,NA
"JP90C000G631","6ヶ月",1.21,20.19,0.2
"JP90C000G631","1年",10.11,15.61,0.69
"JP90C000G631","3年",65.07,18.09,1.02
"JP90C000G631","5年",NA,NA,NA
"JP90C000G631","10年",NA,NA,NA
"JP90C000G664","6ヶ月",0.62,15.11,0.14
"JP90C000G664","1年",6.64,11.55,0.61
"JP90C000G664","3年",41.38,12.88,0.97
"JP90C000G664","5年",NA,NA,NA
"JP90C000G664","10年",NA,NA,NA
"JP90C000G672","6ヶ月",-3.15,5.86,-1.06
"JP90C000G672","1年",-0.6,4.91,-0.1
"JP90C000G672","3年",11.91,4.6,0.85
"JP90C000G672","5年",NA,NA,NA
"JP90C000G672","10年",NA,NA,NA
"JP90C000G680","6ヶ月",-0.84,11.42,-0.1
"JP90C000G680","1年",3.79,8.82,0.47
"JP90C000G680","3年",29.03,9.6,0.94
"JP90C000G680","5年",NA,NA,NA
"JP90C000G680","10年",NA,NA,NA
"JP90C000G7W3","6ヶ月",0.53,14.1,0.13
"JP90C000G7W3","1年",2.6,11.07,0.28
"JP90C000G7W3","3年",45.98,15.6,0.89
"JP90C000G7W3","5年",NA,NA,NA
"JP90C000G7W3","10年",NA,NA,NA
"JP90C000GB28","6ヶ月",0.23,8.76,0.09
"JP90C000GB28","1年",0.38,6.93,0.09
"JP90C000GB28","3年",24.26,9.68,0.8
"JP90C000GB28","5年",NA,NA,NA
"JP90C000GB28","10年",NA,NA,NA
"JP90C000GKC6","6ヶ月",1.29,22.7,0.21
"JP90C000GKC6","1年",16.86,17.16,0.99
"JP90C000GKC6","3年",81.98,17.82,1.22
"JP90C000GKC6","5年",NA,NA,NA
"JP90C000GKC6","10年",NA,NA,NA
"JP90C000GMQ2","6ヶ月",-1.91,13.35,-0.23
"JP90C000GMQ2","1年",3.33,10.44,0.36
"JP90C000GMQ2","3年",40.12,12.27,0.98
"JP90C000GMQ2","5年",NA,NA,NA
"JP90C000GMQ2","10年",NA,NA,NA
"JP90C000GMR0","6ヶ月",-3.89,9.65,-0.78
"JP90C000GMR0","1年",-0.07,7.79,0.03
"JP90C000GMR0","3年",26.42,8.95,0.92
"JP90C000GMR0","5年",NA,NA,NA
"JP90C000GMR0","10年",NA,NA,NA
"JP90C000GMS8","6ヶ月",-5.93,6.12,-1.96
"JP90C000GMS8","1年",-3.5,5.47,-0.62
"JP90C000GMS8","3年",13.02,6.1,0.7
"JP90C000GMS8","5年",NA,NA,NA
"JP90C000GMS8","10年",NA,NA,NA
"JP90C000GV81","6ヶ月",-1.3,4.84,-0.6
"JP90C000GV81","1年",-0.56,3.4,-0.1
"JP90C000GV81","3年",7.14,3.31,0.75
"JP90C000GV81","5年",NA,NA,NA
"JP90C000GV81","10年",NA,NA,NA
"JP90C000GV99","6ヶ月",-0.55,7.16,-0.1
"JP90C000GV99","1年",0.37,5.12,0.2
"JP90C000GV99","3年",13.81,6.17,0.8
"JP90C000GV99","5年",NA,NA,NA
"JP90C000GV99","10年",NA,NA,NA
"JP90C000GVW1","6ヶ月",1.84,23.11,0.25
"JP90C000GVW1","1年",8.78,16.37,0.59
"JP90C000GVW1","3年",59.05,19.03,0.92
"JP90C000GVW1","5年",NA,NA,NA
"JP90C000GVW1","10年",NA,NA,NA
"JP90C000H1T1","6ヶ月",1.14,19.77,0.2
"JP90C000H1T1","1年",9.62,15.11,0.68
"JP90C000H1T1","3年",63.21,17.66,1.02
"JP90C000H1T1","5年",NA,NA,NA
"JP90C000H1T1","10年",NA,NA,NA
"JP90C000HZE8","6ヶ月",1.03,19.78,0.19
"JP90C000HZE8","1年",9.48,15.13,0.67
"JP90C000HZE8","3年",NA,NA,NA
"JP90C000HZE8","5年",NA,NA,NA
"JP90C000HZE8","10年",NA,NA,NA
"JP90C000J5T0","6ヶ月",0.3,10.87,0.1
"JP90C000J5T0","1年",4.09,7.92,0.55
"JP90C000J5T0","3年",NA,NA,NA
"JP90C000J5T0","5年",NA,NA,NA
"JP90C000J5T0","10年",NA,NA,NA
"JP90C000J5U8","6ヶ月",0.32,11.22,0.1
"JP90C000J5U8","1年",4.22,8.18,0.55
"JP90C000J5U8","3年",NA,NA,NA
"JP90C000J5U8","5年",NA,NA,NA
"JP90C000J5U8","10年",NA,NA,NA
"JP90C000J5V6","6ヶ月",0.39,11.54,0.12
"JP90C000J5V6","1年",4.41,8.42,0.56
"JP90C000J5V6","3年",NA,NA,NA
"JP90C000J5V6","5年",NA,NA,NA
"JP90C000J5V6","10年",NA,NA,NA
"JP90C000J5W4","6ヶ月",0.52,12.19,0.14
"JP90C000J5W4","1年",4.78,8.89,0.57
"JP90C000J5W4","3年",NA,NA,NA
"JP90C000J5W4","5年",NA,NA,NA
"JP90C000J5W4","10年",NA,NA,NA
"JP90C000JTA5","6ヶ月",-0.79,15.75,-0.03
"JP90C000JTA5","1年",-3.94,14.27,-0.21
"JP90C000JTA5","3年",NA,NA,NA
"JP90C000JTA5","5年",NA,NA,NA
"JP90C000JTA5","10年",NA,NA,NA
"JP90C000JUG0","6ヶ月",1.18,22.62,0.2
"JP90C000JUG0","1年",16.5,17.1,0.98
"JP90C000JUG0","3年",NA,NA,NA
"JP90C000JUG0","5年",NA,NA,NA
"JP90C000JUG0","10年",NA,NA,NA
"JP90C000JUK2","6ヶ月",2.63,24.27,0.31
"JP90C000JUK2","1年",18.96,18.29,1.04
"JP90C000JUK2","3年",NA,NA,NA
"JP90C000JUK2","5年",NA,NA,NA
"JP90C000JUK2","10年",NA,NA,NA
"JP90C000JUL0","6ヶ月",0.86,15.51,0.18
"JP90C000JUL0","1年",-1.51,11.8,-0.07
"JP90C000JUL0","3年",NA,NA,NA
"JP90C000JUL0","5年",NA,NA,NA
"JP90C000JUL0","10年",NA,NA,NA
"JP90C000JX03","6ヶ月",1.22,22.7,0.2
"JP90C000JX03","1年",16.72,17.16,0.99
"JP90C000JX03","3年",NA,NA,NA
"JP90C000JX03","5年",NA,NA,NA
"JP90C000JX03","10年",NA,NA,NA
"JP90C000JX11","6ヶ月",1.07,19.67,0.19
"JP90C000JX11","1年",9.46,15.04,0.67
"JP90C000JX11","3年",NA,NA,NA
"JP90C000JX11","5年",NA,NA,NA
"JP90C000JX11","10年",NA,NA,NA
"JP90C000KBY1","6ヶ月",1.08,22.71,0.19
"JP90C000KBY1","1年",16.24,17.17,0.96
"JP90C000KBY1","3年",NA,NA,NA
"JP90C000KBY1","5年",NA,NA,NA
"JP90C000KBY1","10年",NA,NA,NA
"JP90C000KCW3","6ヶ月",0.39,16.07,0.12
"JP90C000KCW3","1年",3.68,12.94,0.34
"JP90C000KCW3","3年",NA,NA,NA
"JP90C000KCW3","5年",NA,NA,NA
"JP90C000KCW3","10年",NA,NA,NA
"JP90C000KQ33","6ヶ月",-0.48,18.57,0.03
"JP90C000KQ33","1年",4.9,13.18,0.43
"JP90C000KQ33","3年",NA,NA,NA
"JP90C000KQ33","5年",NA,NA,NA
"JP90C000KQ33","10年",NA,NA,NA
"JP90C000KQ41","6ヶ月",1.36,22.11,0.21
"JP90C000KQ41","1年",8.16,15.66,0.57
"JP90C000KQ41","3年",NA,NA,NA
"JP90C000KQ41","5年",NA,NA,NA
"JP90C000KQ41","10年",NA,NA,NA
"JP90C000LZD2","6ヶ月",-6.98,5.92,-2.4
"JP90C000LZD2","1年",NA,NA,NA
"JP90C000LZD2","3年",NA,NA,NA
"JP90C000LZD2","5年",NA,NA,NA
"JP90C000LZD2","10年",NA,NA,NA
"JP90C000LZE0","6ヶ月",-5.86,8.33,-1.41
"JP90C000LZE0","1年",NA,NA,NA
"JP90C000LZE0","3年",NA,NA,NA
"JP90C000LZE0","5年",NA,NA,NA
"JP90C000LZE0","10年",NA,NA,NA
"JP90C000LZF7","6ヶ月",-4.59,10.86,-0.82
"JP90C000LZF7","1年",NA,NA,NA
"JP90C000LZF7","3年",NA,NA,NA
"JP90C000LZF7","5年",NA,NA,NA
"JP90C000LZF7","10年",NA,NA,NA
"JP90C000LZG5","6ヶ月",-3.65,13.19,-0.51
"JP90C000LZG5","1年",NA,NA,NA
"JP90C000LZG5","3年",NA,NA,NA
"JP90C000LZG5","5年",NA,NA,NA
"JP90C000LZG5","10年",NA,NA,NA
"JP90C000LZH3","6ヶ月",-2.75,15.29,-0.3
"JP90C000LZH3","1年",NA,NA,NA
"JP90C000LZH3","3年",NA,NA,NA
"JP90C000LZH3","5年",NA,NA,NA
"JP90C000LZH3","10年",NA,NA,NA
