"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000F8N1","つみたて先進国株式（為替ヘッジあり）","03317178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000F8P6","つみたて４資産均等バランス","03318178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.22000%"
"JP90C000F8Q4","ＳＭＴ８資産インデックスバランス・オープン","64314178","該当なし","2017/08/25","無期限","無期限","年2回","05/10, 11/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.50000%"
"JP90C000F9E8","Ｓｍａｒｔ－ｉ　ＴＯＰＩＸインデックス","AJ312178","インデックス型","2017/08/29","無期限","無期限","年1回","05/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","りそなアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000F9G3","Ｓｍａｒｔ－ｉ先進国株式インデックス","AJ316178","インデックス型","2017/08/29","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","りそなアセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C000F9K5","Ｓｍａｒｔ－ｉ新興国株式インデックス","AJ317178","インデックス型","2017/08/29","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","りそなアセットマネジメント","0.00%","外枠なし","0.34000%"
"JP90C000F9M1","Ｓｍａｒｔ－ｉ日経２２５インデックス","AJ313178","インデックス型","2017/08/29","無期限","無期限","年1回","05/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","りそなアセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FBV7","全世界株式インデックス・ファンド","55311179","インデックス型","2017/09/08","無期限","無期限","年1回","11/30","目論見書","外枠なし","追加型/内外/株式","ステート・ストリート・グローバル・アドバイザーズ","0.00%","外枠0.5％未満","0.48000%"
"JP90C000FCD3","ｉＦｒｅｅ　Ｓ＆Ｐ５００インデックス","04318178","インデックス型","2017/08/31","無期限","無期限","年1回","09/07","目論見書 運用報告書","外枠なし","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.22500%"
"JP90C000FCE1","ｉＦｒｅｅ外国株式インデックス（為替ヘッジあり）","04319178","インデックス型","2017/08/31","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FD92","ブラックロック・つみたて・グローバルバランスファンド","48311181","インデックス型","2018/01/10","無期限","無期限","年1回","08/02","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ブラックロック・ジャパン","3.00%以内","外枠なし","0.36430%"
"JP90C000FDM2","三井住友・ＤＣつみたてＮＩＳＡ・世界分散ファンド","7931217A","インデックス型","2017/10/03","無期限","無期限","年1回","09/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.21000%"
"JP90C000FED9","日本株式・Ｊリートバランスファンド","09311179","インデックス型","2017/09/22","無期限","無期限","年1回","09/08","目論見書 運用報告書","外枠なし","追加型/国内/資産複合","岡三アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FFC8","野村６資産均等バランス","01312179","インデックス型","2017/09/19","無期限","無期限","年1回","07/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","野村アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000FFX4","米国株式インデックス・ファンド","55312179","インデックス型","2017/09/29","無期限","無期限","年1回","03/10","目論見書","外枠なし","追加型/海外/株式","ステート・ストリート・グローバル・アドバイザーズ","0.22%","外枠0.5％未満","0.45000%"
"JP90C000FH72","東京海上・円資産インデックスバランスファンド","4931317A","該当なし","2017/10/11","無期限","無期限","年1回","01/25","目論見書 運用報告書","外枠なし","追加型/国内/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.38000%"
"JP90C000FHC4","楽天・全世界株式インデックス・ファンド","9I311179","インデックス型","2017/09/29","無期限","無期限","年1回","07/15","目論見書 運用報告書","外枠なし","追加型/内外/株式","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000FHD2","楽天・全米株式インデックス・ファンド","9I312179","インデックス型","2017/09/29","無期限","無期限","年1回","07/15","目論見書 運用報告書","外枠なし","追加型/海外/株式","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000FHE0","ｅＭＡＸＩＳマイマネージャー１９７０ｓ","0331517A","インデックス型","2017/10/02","2060/01/26","37年7ヶ月","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000FHF7","ｅＭＡＸＩＳマイマネージャー１９８０ｓ","0331617A","インデックス型","2017/10/02","2070/01/24","47年7ヶ月","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000FHG5","ｅＭＡＸＩＳマイマネージャー１９９０ｓ","0331717A","インデックス型","2017/10/02","2080/01/26","57年7ヶ月","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000FHZ5","野村つみたて外国株投信","0131317A","インデックス型","2017/10/02","無期限","無期限","年1回","05/12","目論見書 運用報告書","外枠なし","追加型/海外/株式","野村アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FJ05","野村つみたて日本株投信","0131217A","インデックス型","2017/10/02","無期限","無期限","年1回","05/12","目論見書 運用報告書","外枠なし","追加型/国内/株式","野村アセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FJY4","つみたてバランスファンド","AJ31117A","インデックス型","2017/10/26","無期限","無期限","年1回","07/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.19500%"
"JP90C000FK36","＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド","2931517A","インデックス型","2017/10/13","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/海外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.18900%"
"JP90C000FK44","＜購入・換金手数料なし＞ニッセイ・インデックスバランスファンド（６資産均等型）","2931617A","インデックス型","2017/10/13","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.15900%"
"JP90C000FLK9","ｉ－ＳＭＴグローバル株式インデックス（ノーロード）","6431217B","インデックス型","2017/11/24","無期限","無期限","年1回","10/20","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FLL7","ｉ－ＳＭＴ日経２２５インデックス（ノーロード）","6431117B","インデックス型","2017/11/24","無期限","無期限","年1回","10/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FN25","たわらノーロードバランス（堅実型）","4731317B","該当なし","2017/11/08","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000FN33","たわらノーロードバランス（標準型）","4731417B","該当なし","2017/11/08","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000FN41","たわらノーロードバランス（積極型）","4731517B","該当なし","2017/11/08","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000FNK5","ニッセイ・インデックスパッケージ（内外・株式）","2931217B","インデックス型","2017/11/17","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/内外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.32400%"
"JP90C000FNL3","ニッセイ・インデックスパッケージ（内外・株式／リート）","2931317B","インデックス型","2017/11/17","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.32400%"
"JP90C000FNM1","ニッセイ・インデックスパッケージ（内外・株式／リート／債券）","2931417B","インデックス型","2017/11/17","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.32400%"
"JP90C000FNN9","ニッセイ・インデックスパッケージ（国内・株式／リート／債券）","2931517B","インデックス型","2017/11/17","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/国内/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.28200%"
"JP90C000FQQ5","ＳＢＩ・新興国株式インデックス・ファンド","8931117C","インデックス型","2017/12/06","無期限","無期限","年1回","11/12","目論見書","外枠なし","追加型/海外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.06000%"
"JP90C000FQR3","ＳＢＩ・全世界株式インデックス・ファンド","8931217C","インデックス型","2017/12/06","無期限","無期限","年1回","11/12","目論見書","外枠なし","追加型/内外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.06200%"
"JP90C000FS95","ドイチェ・ＥＴＦバランス・ファンド","3431117C","該当なし","2017/12/15","無期限","無期限","年1回","10/07","目論見書","外枠なし","追加型/内外/資産複合","ドイチェ・アセット・マネジメント","0.00%","外枠0.5％未満","0.23500%"
"JP90C000FSN8","ｉ－ＳＭＴ新興国株式インデックス（ノーロード）","64311181","インデックス型","2018/01/12","無期限","無期限","年1回","10/20","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠0.5％未満","0.33000%"
"JP90C000FSP3","ｉ－ＳＭＴ　ＴＯＰＩＸインデックス（ノーロード）","64312181","インデックス型","2018/01/12","無期限","無期限","年1回","10/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FVY9","ＳＢＩ・先進国株式インデックス・ファンド","89311181","インデックス型","2018/01/12","無期限","無期限","年1回","11/12","目論見書","外枠なし","追加型/内外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.06200%"
"JP90C000FX72","たわらノーロード最適化バランス（保守型）","47313181","該当なし","2018/01/24","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FX80","たわらノーロード最適化バランス（安定型）","47314181","該当なし","2018/01/24","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FX98","たわらノーロード最適化バランス（安定成長型）","47315181","該当なし","2018/01/24","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FXA5","たわらノーロード最適化バランス（成長型）","47316181","該当なし","2018/01/24","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FXB3","たわらノーロード最適化バランス（積極型）","47317181","該当なし","2018/01/24","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FXV1","ｅＭＡＸＩＳ　Ｓｌｉｍ国内株式（日経平均）","03311182","インデックス型","2018/02/02","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.14000%"
"JP90C000G631","ｅＭＡＸＩＳ　Ｓｌｉｍ全世界株式（除く日本）","03316183","インデックス型","2018/03/19","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.10400%"
"JP90C000G664","Ｓｍａｒｔ－ｉ８資産バランス成長型","AJ316183","該当なし","2018/03/27","無期限","無期限","年1回","03/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C000G672","Ｓｍａｒｔ－ｉ８資産バランス安定型","AJ314183","該当なし","2018/03/27","無期限","無期限","年1回","03/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.16000%"
"JP90C000G680","Ｓｍａｒｔ－ｉ８資産バランス安定成長型","AJ315183","該当なし","2018/03/27","無期限","無期限","年1回","03/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.18000%"
"JP90C000G7W3","ｅＭＡＸＩＳ　Ｓｌｉｍ全世界株式（３地域均等型）","03312184","インデックス型","2018/04/03","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/内外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.10400%"
"JP90C000GB28","世界６資産分散ファンド","01312185","インデックス型","2018/05/15","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","野村アセットマネジメント","1.00%以内","外枠0.5％未満","0.49500%"
"JP90C000GKC6","ｅＭＡＸＩＳ　Ｓｌｉｍ米国株式（Ｓ＆Ｐ５００）","03311187","インデックス型","2018/07/03","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.08800%"
"JP90C000GMQ2","楽天・インデックス・バランス・ファンド（株式重視型）","9I311187","該当なし","2018/07/20","無期限","無期限","年1回","04/15","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000GMR0","楽天・インデックス・バランス・ファンド（均等型）","9I312187","該当なし","2018/07/20","無期限","無期限","年1回","04/15","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000GMS8","楽天・インデックス・バランス・ファンド（債券重視型）","9I313187","該当なし","2018/07/20","無期限","無期限","年1回","04/15","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000GV81","ａｕスマート・ベーシック（安定）","AY311189","該当なし","2018/09/19","無期限","無期限","年1回","09/18","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ａｕアセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000GV99","ａｕスマート・ベーシック（安定成長）","AY312189","該当なし","2018/09/19","無期限","無期限","年1回","09/18","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ａｕアセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000GVW1","フィデリティ・ターゲット・デート・ファンド（ベーシック）２０６０","32311189","該当なし","2018/09/26","2061/09/26","39年3ヶ月","年1回","09/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","フィデリティ投信","3.00%以内","外枠なし","0.26600%"
"JP90C000H1T1","ｅＭＡＸＩＳ　Ｓｌｉｍ全世界株式（オール・カントリー）","0331418A","インデックス型","2018/10/31","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/内外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.10400%"
"JP90C000HZE8","たわらノーロード全世界株式","47312197","インデックス型","2019/07/22","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/内外/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.12000%"
"JP90C000J5T0","東京海上ターゲット・イヤー・ファンド２０３５","49311199","該当なし","2019/09/20","無期限","無期限","年1回","01/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000J5U8","東京海上ターゲット・イヤー・ファンド２０４５","49312199","該当なし","2019/09/20","無期限","無期限","年1回","01/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000J5V6","東京海上ターゲット・イヤー・ファンド２０５５","49313199","該当なし","2019/09/20","無期限","無期限","年1回","01/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000J5W4","東京海上ターゲット・イヤー・ファンド２０６５","49314199","該当なし","2019/09/20","無期限","無期限","年1回","01/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000JTA5","ＮＺＡＭ・ベータ日経２２５","25312202","インデックス型","2020/02/13","無期限","無期限","年1回","12/11","目論見書 運用報告書","外枠なし","追加型/国内/株式","農林中金全共連アセットマネジメント","0.00%","外枠なし","0.16000%"
"JP90C000JUG0","ＮＺＡＭ・ベータＳ＆Ｐ５００","25314202","インデックス型","2020/02/13","無期限","無期限","年1回","12/11","目論見書 運用報告書","外枠なし","追加型/海外/株式","農林中金全共連アセットマネジメント","-","外枠なし","0.24000%"
"JP90C000JUK2","ＮＺＡＭ・ベータ米国２資産（株式＋ＲＥＩＴ）","25313202","インデックス型","2020/02/13","無期限","無期限","年1回","12/11","目論見書 運用報告書","外枠なし","追加型/海外/資産複合","農林中金全共連アセットマネジメント","0.00%","外枠なし","0.37000%"
"JP90C000JUL0","ＮＺＡＭ・ベータ日本２資産（株式＋ＲＥＩＴ）","25315202","インデックス型","2020/02/13","無期限","無期限","年1回","12/11","目論見書 運用報告書","外枠なし","追加型/国内/資産複合","農林中金全共連アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000JX03","つみたて米国株式（Ｓ＆Ｐ５００）","03315203","インデックス型","2020/03/06","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000JX11","つみたて全世界株式","03316203","インデックス型","2020/03/06","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/内外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000KBY1","Ｓｍａｒｔ－ｉ　Ｓ＆Ｐ５００インデックス","AJ311207","インデックス型","2020/07/29","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","りそなアセットマネジメント","-","外枠なし","0.22000%"
"JP90C000KCW3","＜購入・換金手数料なし＞ニッセイ世界株式ファンド（ＧＤＰ型バスケット）","29312206","該当なし","2020/06/29","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/内外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.10400%"
"JP90C000KQ33","フィデリティ・ターゲット・デート・ファンド（ベーシック）２０４５","32312209","該当なし","2020/09/28","2046/09/25","24年3ヶ月","年1回","09/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","フィデリティ投信","3.00%以内","外枠なし","0.26600%"
"JP90C000KQ41","フィデリティ・ターゲット・デート・ファンド（ベーシック）２０５５","32313209","該当なし","2020/09/28","2056/09/25","34年3ヶ月","年1回","09/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","フィデリティ投信","3.00%以内","外枠なし","0.26600%"
"JP90C000LZD2","楽天・資産づくりファンド（のんびりコース）","9I311216","該当なし","2021/06/11","無期限","無期限","年1回","04/20","目論見書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.36500%"
"JP90C000LZE0","楽天・資産づくりファンド（じっくりコース）","9I312216","該当なし","2021/06/11","無期限","無期限","年1回","04/20","目論見書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.36500%"
"JP90C000LZF7","楽天・資産づくりファンド（なかなかコース）","9I313216","該当なし","2021/06/11","無期限","無期限","年1回","04/20","目論見書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.36500%"
"JP90C000LZG5","楽天・資産づくりファンド（しっかりコース）","9I314216","該当なし","2021/06/11","無期限","無期限","年1回","04/20","目論見書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.36500%"
"JP90C000LZH3","楽天・資産づくりファンド（がっちりコース）","9I315216","該当なし","2021/06/11","無期限","無期限","年1回","04/20","目論見書","外枠なし","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.36500%"
