"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C00055X2","ＳＭＴグローバル株式インデックス・オープン","64314081","インデックス型","2008/01/09","無期限","無期限","年2回","05/10, 11/10","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠0.5％未満","0.50000%"
"JP90C0005FR3","三井住友・ＤＣターゲットイヤーファンド２０４０（４資産タイプ）","79318083","該当なし","2008/03/31","無期限","無期限","年1回","04/13","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.42000%"
"JP90C0005FS1","三井住友・ＤＣターゲットイヤーファンド２０４５（４資産タイプ）","79319083","該当なし","2008/03/31","無期限","無期限","年1回","04/13","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.42000%"
"JP90C0005Z76","ＳＭＴ新興国株式インデックス・オープン","6431208C","インデックス型","2008/12/15","無期限","無期限","年2回","05/10, 11/10","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友トラスト・アセットマネジメント","3.00%以内","外枠0.5％未満","0.60000%"
"JP90C0006026","世界経済インデックスファンド","64315091","該当なし","2009/01/16","無期限","無期限","年1回","01/20","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","3.00%以内","外枠0.5％未満","0.50000%"
"JP90C0006083","コモンズ３０ファンド","9N311091","該当なし","2009/01/19","無期限","無期限","年1回","01/18","目論見書","外枠なし","追加型/内外/株式","コモンズ投信","-","外枠なし","0.98000%"
"JP90C0006K23","外国株式指数ファンド","7931A09A","インデックス型","2009/10/19","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠0.5％未満","0.50000%"
"JP90C0006LC1","ｅＭＡＸＩＳ日経２２５インデックス","0331109A","インデックス型","2009/10/28","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.40000%"
"JP90C0006LD9","ｅＭＡＸＩＳ　ＴＯＰＩＸインデックス","0331209A","インデックス型","2009/10/28","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.40000%"
"JP90C0006LG2","ｅＭＡＸＩＳ先進国株式インデックス","0331509A","インデックス型","2009/10/28","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.60000%"
"JP90C0006LK4","ｅＭＡＸＩＳ新興国株式インデックス","0331809A","インデックス型","2009/10/28","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.60000%"
"JP90C0006Y84","のむラップ・ファンド（積極型）","01314103","該当なし","2010/03/15","無期限","無期限","年1回","02/18","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","野村アセットマネジメント","1.00%以内","外枠0.5％未満","1.38000%"
"JP90C0006ZN8","東京海上セレクション・外国株式インデックス","49313104","インデックス型","2010/04/28","無期限","無期限","年1回","04/15","目論見書 運用報告書","外枠なし","追加型/海外/株式","東京海上アセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C00074C7","ｅＭＡＸＩＳ全世界株式インデックス","03312107","インデックス型","2010/07/20","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.60000%"
"JP90C00074E3","ＳＭＴ日経２２５インデックス・オープン","64311107","インデックス型","2010/07/30","無期限","無期限","年2回","05/10, 11/10","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠なし","0.37000%"
"JP90C0007DM5","野村インデックスファンド・ＴＯＰＩＸ","0131610B","インデックス型","2010/11/26","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/国内/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.40000%"
"JP90C0007DN3","野村インデックスファンド・日経２２５","0131510B","インデックス型","2010/11/26","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/国内/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.40000%"
"JP90C0007DP8","野村インデックスファンド・外国株式","0131410B","インデックス型","2010/11/26","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/海外/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.55000%"
"JP90C0007DQ6","野村インデックスファンド・新興国株式","0131310B","インデックス型","2010/11/26","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/海外/株式","野村アセットマネジメント","1.00%以内","外枠0.5％未満","0.60000%"
"JP90C0007LN6","三井住友・ＤＣつみたてＮＩＳＡ・全海外株インデックスファンド","79311114","インデックス型","2011/04/18","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.25000%"
"JP90C0007LP1","三井住友・ＤＣ新興国株式インデックスファンド","79312114","インデックス型","2011/04/18","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.34000%"
