"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C0003RT9","04315056","1年",3.69,8.36,0.48
"JP90C0003RT9","04315056","3年",33.67,10.45,0.98
"JP90C0003RT9","04315056","5年",39.15,10.34,0.7
"JP90C0003RT9","04315056","10年",180.21,10.84,1.01
"JP90C0004GZ7","96311073","6ヶ月",0.82,12.76,0.44
"JP90C0004GZ7","96311073","1年",5.64,9.55,0.65
"JP90C0004GZ7","96311073","3年",34.92,9.73,1.13
"JP90C0004GZ7","96311073","5年",42.34,9.48,0.78
"JP90C0004GZ7","96311073","10年",160.35,10.21,1.01
"JP90C0004H04","96312073","6ヶ月",-5.47,23.88,-0.31
"JP90C0004H04","96312073","1年",-0.27,17.29,0.13
"JP90C0004H04","96312073","3年",47.2,18,0.88
"JP90C0004H04","96312073","5年",61.34,17.11,0.68
"JP90C0004H04","96312073","10年",339.2,16.31,1.06
"JP90C00055W4","64313081","6ヶ月",0.38,12.02,0.12
"JP90C00055W4","64313081","1年",1.42,10.95,0.18
"JP90C00055W4","64313081","3年",34.15,14.97,0.73
"JP90C00055W4","64313081","5年",34.23,14.71,0.48
"JP90C00055W4","64313081","10年",218.18,15.73,0.82
"JP90C00055X2","64314081","6ヶ月",1.29,21.7,0.21
"JP90C00055X2","64314081","1年",12.33,16.69,0.78
"JP90C00055X2","64314081","3年",68.08,18.44,1.04
"JP90C00055X2","64314081","5年",86.8,17.21,0.82
"JP90C00055X2","64314081","10年",369.68,16.53,1.02
"JP90C0005FR3","79318083","6ヶ月",-0.13,8.89,0.01
"JP90C0005FR3","79318083","1年",2.55,6.49,0.42
"JP90C0005FR3","79318083","3年",25.1,7.8,1
"JP90C0005FR3","79318083","5年",30.13,7.8,0.72
"JP90C0005FR3","79318083","10年",137.16,8.73,1.04
"JP90C0005FS1","79319083","6ヶ月",0,9.63,0.04
"JP90C0005FS1","79319083","1年",2.96,7.04,0.45
"JP90C0005FS1","79319083","3年",27.06,8.31,1.01
"JP90C0005FS1","79319083","5年",32.23,8.29,0.72
"JP90C0005FS1","79319083","10年",147.24,9.2,1.03
"JP90C0005Z76","6431208C","6ヶ月",-0.95,10.32,-0.14
"JP90C0005Z76","6431208C","1年",-6.9,11.5,-0.57
"JP90C0005Z76","6431208C","3年",31.94,19.42,0.58
"JP90C0005Z76","6431208C","5年",32.28,18.33,0.4
"JP90C0005Z76","6431208C","10年",127,17.65,0.56
"JP90C0006026","64315091","6ヶ月",0.52,10.9,0.14
"JP90C0006026","64315091","1年",2.46,8.57,0.33
"JP90C0006026","64315091","3年",30.93,10.44,0.92
"JP90C0006026","64315091","5年",36.41,9.89,0.68
"JP90C0006026","64315091","10年",140.08,10.56,0.88
"JP90C0006083","9N311091","6ヶ月",-2.46,17.04,-0.22
"JP90C0006083","9N311091","1年",0.43,14.32,0.1
"JP90C0006083","9N311091","3年",47.78,15.66,0.91
"JP90C0006083","9N311091","5年",48.06,15.67,0.58
"JP90C0006083","9N311091","10年",244.32,15.36,0.89
"JP90C0006K23","7931A09A","6ヶ月",1.27,21.77,0.21
"JP90C0006K23","7931A09A","1年",12.4,16.75,0.78
"JP90C0006K23","7931A09A","3年",68.82,18.49,1.04
"JP90C0006K23","7931A09A","5年",87.71,17.26,0.82
"JP90C0006K23","7931A09A","10年",372.85,16.57,1.03
"JP90C0006LC1","0331109A","6ヶ月",-1.06,15.72,-0.07
"JP90C0006LC1","0331109A","1年",-4.14,14.25,-0.23
"JP90C0006LC1","0331109A","3年",38.27,17.13,0.72
"JP90C0006LC1","0331109A","5年",49.61,16.54,0.57
"JP90C0006LC1","0331109A","10年",267.76,16.68,0.87
"JP90C0006LD9","0331209A","6ヶ月",0.36,12.01,0.11
"JP90C0006LD9","0331209A","1年",1.39,10.95,0.18
"JP90C0006LD9","0331209A","3年",34.06,14.97,0.73
"JP90C0006LD9","0331209A","5年",33.97,14.71,0.47
"JP90C0006LD9","0331209A","10年",217.14,15.73,0.82
"JP90C0006LG2","0331509A","6ヶ月",1.24,21.7,0.2
"JP90C0006LG2","0331509A","1年",12.24,16.69,0.77
"JP90C0006LG2","0331509A","3年",67.62,18.43,1.03
"JP90C0006LG2","0331509A","5年",85.83,17.2,0.81
"JP90C0006LG2","0331509A","10年",362.75,16.53,1.02
"JP90C0006LK4","0331809A","6ヶ月",-1.15,10.43,-0.18
"JP90C0006LK4","0331809A","1年",-7.3,11.55,-0.6
"JP90C0006LK4","0331809A","3年",31.09,19.51,0.57
"JP90C0006LK4","0331809A","5年",31.2,18.38,0.39
"JP90C0006LK4","0331809A","10年",123.66,17.73,0.55
"JP90C0006Y84","01314103","6ヶ月",0.82,16.59,0.17
"JP90C0006Y84","01314103","1年",7.95,12.5,0.67
"JP90C0006Y84","01314103","3年",41.97,13.52,0.94
"JP90C0006Y84","01314103","5年",50.38,12.51,0.72
"JP90C0006Y84","01314103","10年",207.77,12.37,0.97
"JP90C0006ZN8","49313104","6ヶ月",1.72,21.61,0.25
"JP90C0006ZN8","49313104","1年",13,16.61,0.82
"JP90C0006ZN8","49313104","3年",70.4,18.39,1.07
"JP90C0006ZN8","49313104","5年",90.8,17.19,0.84
"JP90C0006ZN8","49313104","10年",377.17,16.53,1.03
"JP90C00074C7","03312107","6ヶ月",0.92,20.18,0.17
"JP90C00074C7","03312107","1年",9.5,15.61,0.66
"JP90C00074C7","03312107","3年",62.43,18.08,0.99
"JP90C00074C7","03312107","5年",77.81,16.93,0.77
